Title,Location,Company,Salary,Sponsored,Description
Data Engineer,"Bengaluru, Karnataka",Levi Strauss & Co.,None,Organic,"JOB DESCRIPTION
At Levi Strauss & Co, we are revolutionizing the apparel business and redefining the way denim is made.
We are taking one of the world’s most iconic brands into the next century:
from creating machine learning-powered denim finishes to using block-chain for our factory workers’ wellbeing, to building algorithms to better meet the needs of our consumers and optimize our supply chain.
Be a pioneer in the fashion industry by joining our global Data, Analytics & AI “startup with assets,” where you will have the chance to build exciting solutions that will impact our business and at the same time be part of a bigger, across-continents, data community.
As a data engineer, you will build a solid data foundation that powers the entire spectrum from Business Intelligence to Artificial Intelligence. You’ll be critical to helping us in our transition from batch to real-time, one-to-one to many-to-many connections, centrally-managed infrastructure to self-service tools that allow easy experimentation, and from manual to automated processes.
This role will work closely with the Data Science and AI team and will focus on enablement and acceleration of new and existing workflows. We need someone who will bring thoughtful perspective, empathy, creativity, and a positive attitude to solve problems at scale. This role is ideal for someone looking to extend software engineering skills into the field of Machine Learning and Artificial Intelligence.
Duties and responsibilities
Establish scalable, efficient, automated processes for data analyses, model development, validation and implementation
Work closely with data scientists and analysts to create and deploy new features
Write efficient and well-organized software to ship products in an iterative, continual-release environment
Monitor and plan out core infrastructure enhancements
Contribute to and promote good software engineering practices across the team
Mentor and educate team members to adopt best practices in writing and maintaining production code
Communicate clearly and effectively to technical and non-technical audiences
Actively contribute to and re-use community best practices
Embody the values and passions that characterize Levi Strauss & Co., with empathy to engage with colleagues from a wide range of backgrounds
Qualifications
University or advanced degree in engineering, computer science, mathematics, or a related field
Strong experience working with a variety of relational SQL and NoSQL databases
Strong experience working with big data tools: Hadoop, Spark, Kafka, etc.
Experience with at least one cloud provider solution (AWS, GCP, Azure)
Strong experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Ability to work in Linux environment
Experience working with APIs
Strong knowledge of data pipeline and workflow management tools
Expertise in standard software engineering methodology, e.g. unit testing, code reviews, design documentation
Experience creating ETL processes that prepare data for consumption appropriately
Experience in setting up, maintaining and optimizing databases for production usage in reporting, analysis and ML applications
Working in a collaborative environment and interacting effectively with technical and non-technical team members equally well
Relevant working experience with Docker and Kubernetes preferred
Ability to work with ML frameworks preferred
LOCATION
India, Bangalore - Office
FULL TIME/PART TIME
Full time"
Experienced (or) Fresher AR caller/Claims Follow-up Represen...,"Arumbakkam, Chennai, Tamil Nadu",AI medcon (OPC) private limited,None,Organic,"Greetings from AI MEDCON (OPC) Private Ltd !!!!
We are Hiring Candidates who are Experienced in Denial Management, Revenue Cycle Management, Accounts Receivable(AR Caller /AR calling) for Medical Billing in US Healthcare Industry.
Job Description:
Reviews the work order.
Follow-up with insurance carriers for claim status.
Follow-up with insurance carriers to check status of outstanding claims.
Receive payment information if the claims has been processed.
Analyze claims in-case of rejections.
Ensure deliverable's adhere to quality standards.
Strong knowledge in Denial management
· Experience in Anesthesia, Pain management is preferable.
Experience: 1 - 4 years
Job Location: Chennai
Salary: Best in industry
Interview mode: Telephone / Skype
Shift : Fixed night shifts (Sat Sun fixed week Offs)
Looking for Immediate Joiners.
Role: Associate/Senior Associate -(NonTechnical)
IndustryType: BPO, Call Centre, ITeS
FunctionalArea: ITES, BPO, KPO, LPO, Customer Service, Operations
EmploymentType: Full Time, Permanent
RoleCategory: Voice , Analyst
*Note – Selected candidates will be requested to work from home till Lock-down ends.
Education
UG: Any Graduate in Any Specialization
PG: Post Graduation Not Required, Any Postgraduate in Any Specialization
Doctorate: Any Doctorate in Any Specialization, Doctorate Not Required
Job Type: Full-time
Work Remotely:
Temporarily due to COVID-19"
Senior Software Developer,"Keelkattalai, Chennai, Tamil Nadu",10to8 ltd,"₹7,00,000 - ₹15,00,000 a year",Organic,"Full Stack: Python | Django | Javascript | React
*
4+ years of software experience. 2+ years of experience in either Javascript or Python.
*
*
Full time. Remote. Generous holidays. Competitive salary.
*
*
You will work from your own laptop or desktop, and the company has a scheme to help you purchase one if needed.
*
*
We are looking for full-stack software engineers with experience in either Javascript or Python, to build new features for our appointment scheduling product that is used by tens of thousands of businesses around the world.
*
*
We are looking for a team player - someone who can work with our other engineers to get things done. We are looking for someone who takes pride in the quality of their work, and who cares about how their product is used.
*
*
Here are some of the projects our engineering team has completed in the past 3 months:
*
* MS Teams Integration, to allow 10to8 users to book video conferencing calls easily.
Team bookings, where multiple people can be booked into 10to8 at the same time, with all of them receiving reminders about the booking.
Google Classrooms integration, so that education providers can sync their student's details into 10to8.
A booking request and messaging inbox, able to scale to thousands of bookings per day for large enterprise clients
Marketing analytics, such as integrating with Google Tag Manager, Google Analytics and Facebook Pixels
*
*
We expect candidates to be very good at either Python or Javascript. Candidates that only know one of these languages will be trained on the other, to become full stack.
*
*
Main Responsibilities
Developing new features in our product, using Python, Django, Javascript and React.
Being ""full-stack"" - building features from the DB up to the UI and back again, without relying on other people to build the Frontend or the Backend
Taking part in Demos, Sprint Planning, Retrospectives etc with the rest of the team
Debugging Python or Javascript to triage and fix bugs.
*
*
Secondary Possible Responsibilities (depending on interest)
Profiling code to identify performance bottlenecks to speed things up
Deploying code and developing infrastructure to support the monitoring and maintenance of a system that is used 24/7.
Attending calls with clients to assist the sales process
*
*
More about 10to8
Our appointment scheduling software keeps businesses and their customers on the same page, to make bookings happen.
*
*
We have lots of plans for improving our product. Whether it’s using AI to identify customers who might be late for their bookings and personalising messages to them, extending our communications system to support Whatsapp and voice calls, or supporting enterprises who use our APIs to integrate with their own systems - there is lots of exciting work to be done.
*
*
Our 18 person team works remotely, with staff from around the world. For us, working as a team is a vital part of how we operate. Join us, and you'll find:
We work together and remotely because that’s how we’ve found we work best.
Culture is important to us and we’re always trying to maintain and improve it.
We work as a team and tackle our challenges together.
We’re flexible: we adjust to our employees’ individual requirements to make sure they are happy and productive.
*
*
We will onboard you with our existing micro-apps, codebase and documentation. You will be supported and trained in the technologies we use, and we will want you to bring your own experience and expertise to help improve the team.
*
Job Type: Full-time
Salary: ₹700,000.00 - ₹1,500,000.00 per year
Experience:
total work: 3 years (Required)
Work Remotely:
Yes"
AI ML Analyst,"Pune, Maharashtra",CDK Global,None,Organic,"Location: [[req_workLocation]]
Location Address: Pune, State of Mahārāshtra 411003 India (IN)
Careers with CDK Global – where to next?
So who are we and what do we do?
CDK Global is the largest global provider of integrated information technology and digital marketing solutions to automotive dealerships and manufacturers in more than 100 countries worldwide for the world’s biggest car brands. Although we operate on a global scale, we are small by comparison and that is a good thing. It means that we are still a business where every person matters and where anyone can make an impact on our growth and success. We have opportunities in a wide range of business areas so wherever in the world you join us, you will get the support, training and tools you need to make significant steps forward in your career.

Familiarity with CDK products
Knowledge of machine learning techniques with scripting python, and / or R , Java that help to draw insights from the data.
Any RDBMS knowledge with SQL Skills
Advanced Excel skills
Basic UI development using any one of the tools like node JS, react etc.,

Good and quick problem-solving skills while developing a product.
Nice to have data engineering background- such as API development
Ability to explore new tools to increase the effectiveness and accuracy of data sources.
Here is the snippet, I will work on rephrasing

Who do we look for? We look for people with the right cultural fit. That means being passionate and enthusiastic and having what it takes to drive our business forward. We also look for people who are keen to develop new knowledge and skills, because our growth is ultimately dependent on yours. What can we offer you? To help us attract and retain the best, we pay people according to performance, not tenure. Excel in your role here and the rewards will be excellent too. We will also help you to grow your career, not only through focused investment in learning and development but also by enabling you to explore the opportunities our global market has to offer. Start your Journey with CDK Global."
Head Operations- USA,"Chennai, Tamil Nadu",Robotix Learning solutions Pvt Ltd,"₹18,00,000 a year",Organic,"Robotix Learning Solutions Chennai is promoting AI World School a global B2C & B2B platform teaching AI & coding to K12 students and schools. We are hiring Head Operations for US market
Roles
Formulate business strategy and design policies that align with overall strategy.
Should contribute to Business Development, Sales & Marketing and Team management, Leads Management through Closure.
Lead Technology Strategy, Solutions and Implementation across US Market.
Manage Digital Marketing Campaigns-– Lead Content Strategy and builds, Google Ads, SEO/SEM, Email and Social Media Campaigns.
Digital Technology strategy, validation, selection & implementation
Effectively manage Pre-Sales, RFIs/ RFPs, Pricing Transaction based models for Service revenues.
Coordinate customer service operations and find ways to ensure customer retention
Oversee the implementation of technology solutions throughout the organization
Implement efficient processes and standards
Evaluate risk and lead quality assurance efforts
Oversee expenses and budgeting to help the organization optimize costs and benefits
Mentor and motivate teams to achieve productivity and engagement
Implemented Business Process work flow solutions, enabling seamless production and delivery.
Business case evaluation, Market validation, planning & execution.
Budgeting and tracking
Ensure compliance with local and international laws (e.g. data protection)
Report on operational performance and suggest improvements
Provide Thought Leadership, Strategy and Implementation of Product and Services rollout, hand holding clients as part of the engagement.
Reports to Chairman on the Operations
Skills/Requirements
· 12+ yrs of Proven experience as Head of Operations, Operations Director or similar leadership role in US Market, preferably in Online Education / EdTech industry.
· Expertise in operations process strategizing and management
· Strategic mindset with meticulous planning capabilities
· P&L exposure, Performance Evaluation, Portfolio Management, Pricing Surveys, Digital marketing, Analytical skills.
· Detail orientation & People management skills
· Budgeting and tracking.
· Punctuality and adherence to deadlines
· Monitoring and review of ongoing processes
Job Type: Full-time
Salary: ₹1,800,000.00 per year
Experience:
US Market: 5 years (Required)
Opertions: 10 years (Required)"
Transcription Editor,Remote,Wavel.ai,₹900 an hour,Organic,"Job Description:
The job of the editor is to correct and edit pre-translated transcriptions generated by our unique machine learning algorithm. Editors must create accurate written versions of audio or video recordings. This job involves listening to audio and reviewing drafts of written transcriptions. Editors will work remotely and on a freelance basis. A key part of this job is to spot any inaccuracies and errors, and to add in missing information within the final report. This job is well suited to people who are detail oriented, have excellent writing and listening skills, and can communicate well with colleagues, both verbally and over email.
*
Transcriber Responsibilities:
Completing transcriptions in a timely manner and reviewing drafts for any spelling, grammar, or formatting errors, as well as other inconsistencies.
Communicating with the supervisor when there are issues.
Submitting completed drafts to and correcting any errors as per our teams feedback.
Edit your transcriptions before filing them
Providing any feedback to better improve the accuracy of our machine learning algorithm.
*
*
Skills and Qualifications
Listening skills – transcribers need to listen carefully to audio recordings and interpret them appropriately.
Time management – transcribers must work quickly but efficiently, keeping tight deadlines and managing their time effectively
Computer skills – applicants for this role need to be comfortable using computers and different types of programs
Detail oriented – transcribers need to spot inaccuracies and inconsistencies in final drafts, so attention to detail is key to being successful in this job
Writing skills – in order to create accurate transcripts, transcribers need to have a good understanding of the English language and grammar
*
*
Testing:
An online transcription test will be administered as part of the screening for this position.
*
Payment:
You can get paid through TransferWise or Paypal. Also, the hourly rate is for 1 AUDIO hour of work.
PLEASE APPLY BY COPYING THE LINK AND PASTING IT IN A NEW TAB
https://www.wavel.ai/transcriber
Job Types: Full-time, Part-time
Salary: Up to ₹900.00 per hour
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Yes"
AI and Deep Learning Trainer,"Bengaluru, Karnataka",Perceptrons,"₹20,000 - ₹40,000 a month",Organic,"Job Description:
1. Good domain knowledge on data science with min 3-4 yrs
2. Good knowledge on Hadoop, Statistics, SQL,Python,Machine Learning,Deep Learning,NLP, Tensor-flow etc
3. Able to take CLASSROOM or ONLINE Daily/weekend classes at Rajajinagar Branch, Bangalore.
4. Need to handle 2-3 Batches per month (Incl Online & Classroom)
Skills Required:
Artificial Neural Network (ANN), Deep Learning, Machine Learning (ML), NLP, Computer Vision, etc
We are Global AI training institute located in Bangalore and US. for more details visit us at perceptrons.ai
Job Types: Full-time, Part-time
Salary: ₹20,000.00 - ₹40,000.00 per month
Experience:
work: 3 years (Preferred)
total work: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Industry:
Education & Instruction
Work Remotely:
Yes"
BPS-AI ML Project Manager_C2,"Bengaluru, Karnataka",Wipro LTD,None,Organic,"Bengaluru, India
2514879
Job Description
Experience in Automation , Testing and Coding in any one programming language
""Understand BRD ,create detailed test scenarios and test cases
""
""Knowledge of database, tools ,Knowledge of continuous integration including tools like Jenkins and code checking tools
""

Experience in Automation , Testing and Coding in any one programming language
""Understand BRD ,create detailed test scenarios and test cases
""
""Knowledge of database, tools ,Knowledge of continuous integration including tools like Jenkins and code checking tools
""

We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, gender identity, sexual orientation, disability status, protected veteran status, or any other characteristic protected by law. Any complaints or concerns regarding the recruitment, application or hiring process should be directed to our Ombuds group www.wiproombuds.com. Any US applicant can also call our hotline at 1-866-921-6714. Applicants outside the US can request the applicable hotline number via email via the Ombuds group.
Wipro does not charge any fee at any stage of the recruitment process and has not authorized agencies/partners to collect any fee for recruitment. If you encounter any suspicious mail, advertisements or persons who offer jobs at Wipro, please do let us know by contacting us on helpdesk.recruitment@wipro.com"
Live Transcription Editor,"Bengaluru, Karnataka",Wavel.ai,₹350 an hour,Organic,"Job Description:
We are looking for live editors to translate audio recordings into written documents, during a live conversation or video session. In this position, you will have to listen to the audio, and edit a per-generated draft created by our AI. As it will be live editing, there will be a small segment of the audio given to you and the draft of the small segment.
Each live session will be 1 hour. Each editor will work only for a total of 20-25 minutes of the 1-hour live session. But you will get paid for 1 hour. The 20 minutes of work will be broken into segments of 3-5 minutes/segment and there will be a break of 3-5 minutes between segments. The work timings will vary depending on project needs.
In many cases, you will need to correct sentence fragments, add punctuation correctly, or audio notes to create an accurate 100% written copy. Our ideal applicant either has significant experience or a certificate in transcription. You must also have excellent hearing and strong typing skills. Transcribers will work remotely and on a freelance basis.
Transcriber Responsibilities:
Completing transcriptions in a timely manner and reviewing drafts for any spelling, grammar, or formatting errors, as well as other inconsistencies.
Communicating with the supervisor when there are issues.
Submitting completed drafts to and correcting any errors as per the transcribing session
Edit your transcriptions before filing them
Providing any feedback to better improve the accuracy of our machine learning algorithm.
Skills and Qualifications
Experience - applicants should have more than 3 years of experience. And have experience using AI-generated text editing tools.
Listening skills – transcribers need to listen carefully to audio recordings and interpret them appropriately.
Time management – transcribers must work quickly and efficiently
Computer skills – applicants for this role need to be comfortable using computers and must be able to understand our tool quickly
Detail-oriented – transcribers need to spot inaccuracies and inconsistencies in final drafts, so attention to detail is key to being successful in this job
Writing skills – in order to create accurate transcripts, transcribers need to have a good understanding of the English language and grammar
Testing:
An online transcription test will be administered as part of the screening for this position.
Payment:
For 1 hour of your time, we pay 5 USD. The work will be only for 20-25 minutes, but we pay for the complete hour! We pay through local bank(TransferWise) or Paypal.
TO APPLY: -
PLEASE APPLY BY COPYING THE LINK AND PASTING IT IN A NEW TAB
https://forms.gle/9yRQECjEg9wCanPEA
Job Types: Part-time, Contract
Salary: ₹350.00 per hour
Experience:
total work: 3 years (Required)
Language:
English (Required)
Industry:
Education & Instruction
Work Remotely:
Yes"
Computer vision engineer,"Chennai, Tamil Nadu",Deepquanty Artificial Intelligence labs,None,Organic,"Hi,
Greeting from DeepQuanty Artificial Intelligence Labs !!!
We would like to take an opportunity to introduce DeepQuanty Artificial Intelligence Labs. It is a Computer Vision Lab devoted to extracting and processing data from images using Deep Learning, Artificial Intelligence and Machine Learning. It is a start-up no more than 1 year old with four products: SnapChek, FormEasy, EasyKYC and Zapscore - all directed at the BFSI Sector. It is well funded and operational. Thus this is an opportunity to apply your cross-functional skill sets, creativity, machine learning, robotics and control systems to solve exciting product development changes.
Company Profile: -
DeepQuanty Artificial Intelligence Labs is a product startup in the space of Artificial Intelligence and Machine Learning. It has already several products in the Computer Vision space and is very well received in the BFSI industries. It has every intention to exploit all opportunities in this space by way of astute product development and taking them to several other industries as well.
DeepQuanty AI Labs has been set up by founders with over 75 man years of experience in the area of analytics and technological product developments. Specifically, the founders come from successful and ongoing ventures MarketsOf1 Analytical Marketing Services Pvt. Ltd. and Pranion Technology Ventures.
Job Description: -
We’re looking for experienced, detail-oriented individuals to join our team and work in a startup environment. This is an opportunity to apply your cross-functional skill-sets, creativity and experience in computer vision, machine learning, robotics and control systems to solve exciting product development challenges. This is a high-visibility position within our fast growing company and assumption of increased responsibilities over time is expected.
Skills and Qualification: -
Minimum 2 year of experience working in AI / Machine Learning.
Minimum 1 year of experience working in Deep Learning.
Bachelor's or Master's Degree in Computer Science or related field.
Machine Learning in Computer Vision.
Working experience in frameworks like OpenCV, Tensorflow/Keras/PyTorch, Scikit-Learn, Matplotlib, Pandas, Numpy.
Good Python knowledge.
Working experience in Flask/Django/Tornado.
Well versed with Development Environment on Linux.
Job Location: -
Chennai
Job Types: Full-time, Internship
Experience:
Python & Linux: 1 year (Preferred)
Deep learning: 1 year (Preferred)"
