Title,Location,Company,Salary,Sponsored,Description
Data Analyst,"Kochi, Kerala",EW Technologies,"₹50,000 - ₹60,000 a month",Organic,"Salesforce experience an advantage
Job Type: Full-time
Salary: ₹50,000.00 - ₹60,000.00 per month
Experience:
Analysis: 4 years (Preferred)
SQL: 4 years (Preferred)
Education:
Required
Additional Compensation:
Bonuses
Work Location:
One location"
Data Scientist - Computer Vision,"Noida, Uttar Pradesh",GarudaUAV Soft Solutions Pvt. Ltd.,"₹2,00,000 - ₹5,00,000 a year",Organic,"We are looking for computer vision/Image processing professional whom we would like to outsource works in pieces at frequent intervals.
professional should have following expertise/skills-
You have a Degree from a top-tier institute and at least 3-5 years of total experience with recent & relevant experience in the space of
Video Analytics/Computer Vision/Image Processing
You have a solid understanding of Statistics, Machine Learning, Deep Learning and Artificial Intelligence Technologies
You have hands on experience in YOLO and other object detection algorithms using Tensorflow/Keras libraries
You have thorough knowledge in CNN,FCNN, RCNN, VGG, Resnet and InceptionNet backend networks and transfer learning
You have a strong expertise in productionalising deep neural network based solution using Docker/Kubernetes
You possess hands on experience in Python, R and equivalent programming languages
You have expertise in building, productionalising and scaling analytics solutions for big data problems
You have solid experience with SQL and NoSQL databases
You have Good problem solving skill
You have a strong Ability to write good optimized code.
You have a Understanding of Data structures and algorithms.
You have a exprtise of CUDA programming.
You have a Understanding of Graphics.
You have an Expertise with Python, R , Matlab or other relevant programming skills.
You have exposure of GitHub profile and contributions.
You have working knowledge of Cloud especially AWS. Should be able to create API's and end points to integrate the AWS services with other Applications.
Interested candidates may share their resume - jobs at garudauav.com
Job Types: Part-time, Contract
Salary: ₹200,000.00 - ₹500,000.00 per year
COVID-19 considerations:
--
Experience:
work: 3 years (Required)
total work: 5 years (Preferred)
Education:
Bachelor's (Preferred)
Industry:
Aviation
Work Remotely:
Yes"
Data Analyst,"Bengaluru, Karnataka",Telstra,None,Organic,"At Telstra, we believe the more connected people are, the more opportunities they have. That's why we help create a brilliant connected future for everyone, everyday.
Who we are?
Telstra is Australia's leading telecommunications and technology company with a rich heritage that’s been built over 100 years. From our humble beginnings in the Postmaster General’s Office to the global business we are today our people have been at the forefront of technology innovation. More recently, we have the largest Internet of Things network in Australia and are leading the way in 5G. And this is just the beginning of what we’re hoping to achieve together. We offer a full range of services and compete in all telecommunications markets throughout Australia and are the most well-known brand in technology and communications industry.
We have operations in more than 20 countries, including in India where we’ve opened an Innovation and Capability Centre (ICC) in Bangalore, and have a presence in Pune and Hyderabad. In India, we’ve set out to build a platform for innovative delivery and engagement that will strengthen our position as an industry leader. We’re combining innovation, automation and technology to solve the world’s biggest technological challenges in areas such as Internet of Things (IoT), 5G, Artificial Intelligence (AI), Machine Learning, and more.
Our Global Business Services (GBS) function brings together and radically simplifies customer service operations and internal support services. GBS will drive a consistent approach to customer experience, efficiency and service levels.
About the role:
The Data Analyst role will be part of a newly formed Data Enablement – Innovation & Process team that will support the execution of the Innovation agenda, including Process optimisation that is executed by Process@Telstra team. On one hand this would involve analysing data requirements and curating data from across multiple systems and on the other, setting up processes/technology to enable scale operations supporting data-driven improvements across Telstra. The person is expected to engage with stakeholders across data teams in Telstra to enable an efficient data enablement.
You will:
To be successful to the role, you’ll:
Bring meaning to data by linking business knowledge with data systems. It includes setting a vision for data-driven improvements across the company, including automated flow of information across the complex data landscape at Telstra to enable real-time to near real-time decision making.
Key responsibilities are:
Perform in-depth quantitative analysis, articulate complex data patterns, insights and propose actionable insights to stakeholders in meaningful business language
Use innovative and creative approaches to enable business decisions to be made using data analysis which help to translate complex business problems
Develop data analysis and ongoing insights leveraging multiple data sources that test hypotheses and correspond to business performance metrics
Engage with external and internal stakeholders to explore potential technical solutions to drive data enablement to allow for Machine learning solutions, continuous process monitoring
Qualifications:
4+ years of experience in a Data Engineer/Data Analyst role, experience and business understanding within the Telco value chain (from Sell to Connect to Assure to Bill and associated data captured) is highly desirable.
A graduate degree in any technology area or another quantitative field
Strong understanding of various Telstra data systems and the way data flows (Siebel, Maxim, Omful, Salesforce, Amdocs, Servicenow, Kenan, SIIAM, Workday)
Expertise in Agile Methodologies, MS SQL (as well as T-SQL), Excel (Including PowerPivot), and PowerPoint
Working experience in Machine Learning models (as well as designing, development and delivery) is highly desirable
Demonstrated ability to complete tasks to the required standard within given deadlines and allotted time/budget
Here you’ll have the opportunity to work with some of the best minds in the industry, people who are passionate about Telstra and technology, and who work together to achieve great things.
Not only will you be rewarded with a competitive salary package, but there are a range of lifestyle products and services that you can access, including options to purchase additional leave, volunteer leave and the list goes on.
Sounds like you?
A career with us will give you a platform to shape tomorrow through technology. For you, that means helping us to push the boundaries of what’s possible today, and in the future. It also gives you the opportunity to empower millions helping businesses grow, evolve and reach their potential.
At Telstra, you can thrive, your way. We foster new ideas, we embrace different ways of working and thinking, and we believe an inclusive and diverse team will lead us to innovate for the future.
We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit our Telstra Careers Website: http://tel.st/allrolesflex"
Data Engineer,"Bengaluru, Karnataka",Levi Strauss & Co.,None,Organic,"JOB DESCRIPTION
At Levi Strauss & Co, we are revolutionizing the apparel business and redefining the way denim is made.
We are taking one of the world’s most iconic brands into the next century:
from creating machine learning-powered denim finishes to using block-chain for our factory workers’ wellbeing, to building algorithms to better meet the needs of our consumers and optimize our supply chain.
Be a pioneer in the fashion industry by joining our global Data, Analytics & AI “startup with assets,” where you will have the chance to build exciting solutions that will impact our business and at the same time be part of a bigger, across-continents, data community.
As a data engineer, you will build a solid data foundation that powers the entire spectrum from Business Intelligence to Artificial Intelligence. You’ll be critical to helping us in our transition from batch to real-time, one-to-one to many-to-many connections, centrally-managed infrastructure to self-service tools that allow easy experimentation, and from manual to automated processes.
This role will work closely with the Data Science and AI team and will focus on enablement and acceleration of new and existing workflows. We need someone who will bring thoughtful perspective, empathy, creativity, and a positive attitude to solve problems at scale. This role is ideal for someone looking to extend software engineering skills into the field of Machine Learning and Artificial Intelligence.
Duties and responsibilities
Establish scalable, efficient, automated processes for data analyses, model development, validation and implementation
Work closely with data scientists and analysts to create and deploy new features
Write efficient and well-organized software to ship products in an iterative, continual-release environment
Monitor and plan out core infrastructure enhancements
Contribute to and promote good software engineering practices across the team
Mentor and educate team members to adopt best practices in writing and maintaining production code
Communicate clearly and effectively to technical and non-technical audiences
Actively contribute to and re-use community best practices
Embody the values and passions that characterize Levi Strauss & Co., with empathy to engage with colleagues from a wide range of backgrounds
Qualifications
University or advanced degree in engineering, computer science, mathematics, or a related field
Strong experience working with a variety of relational SQL and NoSQL databases
Strong experience working with big data tools: Hadoop, Spark, Kafka, etc.
Experience with at least one cloud provider solution (AWS, GCP, Azure)
Strong experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Ability to work in Linux environment
Experience working with APIs
Strong knowledge of data pipeline and workflow management tools
Expertise in standard software engineering methodology, e.g. unit testing, code reviews, design documentation
Experience creating ETL processes that prepare data for consumption appropriately
Experience in setting up, maintaining and optimizing databases for production usage in reporting, analysis and ML applications
Working in a collaborative environment and interacting effectively with technical and non-technical team members equally well
Relevant working experience with Docker and Kubernetes preferred
Ability to work with ML frameworks preferred
LOCATION
India, Bangalore - Office
FULL TIME/PART TIME
Full time"
Data Analyst,"New Delhi, Delhi",MedTourEasy,"₹7,00,000 a year",Organic,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.

Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.

Responsibilities

Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements

Proven working experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
BS in Mathematics, Economics, Computer Science, Information Management or Statistics"
Data Analyst,"Vivekananda Math, West Bengal",SADS SCHOOL,"₹40,000 a month",Organic,"Build Tableau reporting
Identify, clean, and combine data to solve relevant business problems
Research and troubleshoot data related questions, tickets, and issues
Monitor and maintain our existing data to ensure it remains clean, accurate, consistent, and impactful
Transform data into meaningful insight and recommendations for business partners from various areas and companies, including but not limited to the Executive and Sales teams
Work with other members of the Academic & Non Academic team to develop strategic workflows that will help us make better decisions and be more efficient in our daily work
Occasionally perform ad hoc reporting to answer specific business questions from upper management
Computing Skills & Strong understanding of Microsoft Office, Word, Excel, Advance Excel, PowerPoint 2007-2010 Understanding of analytical reports Understanding of relational database concepts Good communication skills in English (verbal and writing)
Job Type: Full-time
Salary: Up to ₹40,000.00 per month
Experience:
total work: 2 years (Preferred)
Education:
Master's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Data Analyst,"Bengaluru, Karnataka",Education Institute,"₹83,000 - ₹98,000 a month",Organic,"Profile: Data Analyst
Responsibilities
Act as a Single Point of Contact for all data repository and develop metrics to analyze pertinent
information and share insights through various reports, dashboards on sustainable basis.
Deep-dive into data trends to identify root causes and improvement opportunities
Identify trends, patterns and concerns emerging from data and highlight the same to
management, with recommendations in a clear, concise manner to enable smooth and quick
decision making
Data validation and attention to detail is required as this role will be accountable for quality of
all the numbers delivered through dashboards or otherwise
Work effectively as part of a team to achieve individual, team and organizational objectives,
sharing knowledge and skills
Collaborate with marketing team to enable decision support and key customer insights through
data analysis, modeling, and exploration
Use quantitative data gathered from customer database and web analytics tools to develop an
understanding of customer behavior
Apply statistics-based market intelligence to business issues and formulates recommendations
and predictions
Ensure data collection is optimized to provide crystal-clear visibility into the past, present, and
future behaviors of our customers
Using data to flag risks and opportunities and devising a strategy to improve
Required Technical Skills:
Must be proficient in Google Analytics
Strong experience in building complex SQL queries.
Advanced Excel, Create Pivots. Ability to write macros is preferred
Experience in building complex MIS and dashboards in any BI tool
Good analytical skills and ability to understand business requirement and related metrics, ability
to create definitions, ability to slice and dice data.
Required behavioral Skills:
String analytical bent of mind
Should be result & detailed oriented and must have ability to multi task and work under
pressure with minimum supervision in the fast-paced environment
Must be self-driven, who can proactively provide regular updates, volunteer to improve the
general data reporting
Proficient in Verbal and Written Communication skills, with demonstrated ability to
communicate with fellow analysts and management
Should be a quick learner with ability to learn new tools/technology quickly
Understanding of eCommerce business (preferred but not mandatory)
Qualification:
Experience: 1-2 years
Job Type: Full-time
Salary: ₹83,000.00 - ₹98,000.00 per month
Experience:
work: 1 year (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Data Research Analyst,"Bengaluru, Karnataka",3M DIGITECH,"₹15,000 - ₹20,000 a month",Organic,"A Data Analyst interprets data and turns it into information which can offer ways to improve a business, thus affecting business decisions. Data Analysts gather information from various sources and interpret patterns and trends – as such a Data Analyst job description should highlight the analytical nature of the role.
The Research Specialist's responsibilities include collecting, sorting, and analyzing data, developing, executing, and interpreting research projects, performing laboratory experiments for product development, and overseeing the daily laboratory tasks.
must have good command over Excel and Data Entry
Job Types: Full-time, Walk-In
Salary: ₹15,000.00 - ₹20,000.00 per month
Experience:
work: 2 years (Required)
total work: 2 years (Required)
Education:
Bachelor's (Required)"
Associate Professional Data Analyst,"Gurgaon, Haryana",DXC,None,Organic,"Job Description:
Essential Job Functions
Assists in the application of data analysis and data modeling techniques to establish, modify, and maintain basic data structures and their entity descriptions, relationship descriptions, and attribute definitions according to client specifications.
Assists in the analysis and validation of basic database structures, models and processes to ensure definition according to business objectives and operations.
Communicates with clients about matters of significance and discrepancies related to data to ascertain correct information and correct errors.
Participates in the development and maintenance of data standards to ensure consistency across databases.
Investigates and resolves technical matters of significance within databases by analyzing and researching possible causes and making appropriate corrections to ensure client satisfaction.
Basic Qualifications
Bachelor's degree or equivalent combination of education and experience
Bachelor's degree in information systems, computer science or related field preferred
Zero or more years of experience in programming or data analysis
Experience working with relevant programming languages and relational databases
Experience working with data modeling practices and procedures
Experience working with company software and hardware products
Other Qualifications
Basic research and data analysis skills
Communication skills to communicate with designers, management and customers
Personal computer and business solutions software skills
Ability to work in a team environment
Work Environment
Office environment"
Data Analyst,"Andheri, Mumbai, Maharashtra",Abacus Peripherals Pvt. Ltd,"₹3,00,000 - ₹4,00,000 a year",Organic,"Gather information from various sources & preparing reports based on analysis and presenting to management. Advance excel will be preferred.
Job Type: Full-time
Salary: ₹300,000.00 - ₹400,000.00 per year
Experience:
total work 4: 5 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
