Title,Location,Company,Salary,Sponsored,Description
Data Science Accelerator,"Pune, Maharashtra",bp,None,Organic,"Share

India - Maharashtra - Pune

Data Science Accelerator

120684BR

Job advert

We’re equipping our new GBS centre with innovative minds who are excited to lead the transformation of processes with a digital-first approach. Is thinking big – and delivering successful outcomes – in the space of digital solutions and customer experiences your forte? Do you have a passion for encouraging a culture of curiosity, creativity and collaboration? Here’s where you will have every opportunity to challenge conventions and break new ground. Let’s hear from you.

We require an individual that embraces innovation and technology to enable the right business intelligence and analytics strategies. This role is highly collaborative which will involve facilitating brainstorming sessions and working closely with the team to form the correct solutions that will meet the business needs. The candidate is expected to manage the processes and will be responsible for accurate data collection, processing, modelling and analysis.
Partner with stakeholders to collect demand by understanding problem statements, refining requirements & provide insights & analytics solutions on core procurement metrics
Develop business intelligence strategies and analytics solutions to improve business performance, i.e. drive efficiency through standardization, simplification and automation
Use advanced data modelling, predictive modelling and analytical techniques to interpret key findings and leverage these insights into initiatives that will support business outcomes
Collaborate with the business, its applications, solutions and with technical architects to understand the implications of data architecture and to maximize the value of information across the organization
Build, develop and maintain data models, data automation systems, dashboards and performance metrics support that enable key business decisions
Develop processes, techniques and tools to analyze model performance while ensuring data accuracy
Understanding of machine learning approach to define, design and create algorithms
Lead & recommend continuous improvement of processes and adopting latest technologies and methodologies
Working hours (ANZ/ASPAC/UK/Europe/US shift) to support Business Partners
Essential Education & Experience
Bachelor’s Degree in Computer Science, Mathematics, Statistics or a related field
Minimum 7 years of experience managing a client-service oriented function with experience in management of large corporate projects, strategic thinking, relationship management and processes
Minimum 5 years of experience working with multiple source datasets – data mining, data processing, database programming and data analytics
Some understanding of PSCM applications and procurement and general accounting practices
Must have experience with MS Office including advanced Excel skills with the ability to create and manage pivot tables, design and manipulate complex graphs, use of macros to drive automation, use of Query to connect data across several sources
Must have experience in the area of modernized data Visualization Tools (Tableau, Power BI, etc.)
Proficient in programming languages (Python, SQL, SAS, etc.); ability to perform effective querying involving multiple tables and subqueries
Understanding of advanced statistical techniques and concepts (linear algebra, regression models, probabilities, distribution, descriptive and inferential, etc.)
Experience with Machine Learning and/or Predictive Analytics will be an added advantage
Experience using and developing data architectures will be an added advantage
Direct process management experience including best practices, driving innovation, continuous improvement, technologies, procedures and tools
Shared service centre experience is essential
Experience of working cross culturally and in an international environment
Resilient and experienced in working in multi-faceted environment

Segment

Corporate & Functions

Job Family Group

Procurement & Supply Chain Management Group

Relocation available

No

Travel required

Yes - up to 10%

Country

India

About BP

At BP, we’re involved in every aspect of the energy system. With over 73,000 employees in 78 countries, we’re constantly working towards delivering light, heat and mobility to millions, every day. Everyone here has a real contribution to make to the world's ambition of a low carbon future, whether they work in business support, legal, technology, HR, communications, audit or more. They keep our business performing brilliantly and driving the transition to a low carbon future. Join BP and help us change the way we power up the world.

Experience Level

Entry"
Data Engineer,"Bengaluru, Karnataka",Levi Strauss & Co.,None,Organic,"JOB DESCRIPTION
At Levi Strauss & Co, we are revolutionizing the apparel business and redefining the way denim is made.
We are taking one of the world’s most iconic brands into the next century:
from creating machine learning-powered denim finishes to using block-chain for our factory workers’ wellbeing, to building algorithms to better meet the needs of our consumers and optimize our supply chain.
Be a pioneer in the fashion industry by joining our global Data, Analytics & AI “startup with assets,” where you will have the chance to build exciting solutions that will impact our business and at the same time be part of a bigger, across-continents, data community.
As a data engineer, you will build a solid data foundation that powers the entire spectrum from Business Intelligence to Artificial Intelligence. You’ll be critical to helping us in our transition from batch to real-time, one-to-one to many-to-many connections, centrally-managed infrastructure to self-service tools that allow easy experimentation, and from manual to automated processes.
This role will work closely with the Data Science and AI team and will focus on enablement and acceleration of new and existing workflows. We need someone who will bring thoughtful perspective, empathy, creativity, and a positive attitude to solve problems at scale. This role is ideal for someone looking to extend software engineering skills into the field of Machine Learning and Artificial Intelligence.
Duties and responsibilities
Establish scalable, efficient, automated processes for data analyses, model development, validation and implementation
Work closely with data scientists and analysts to create and deploy new features
Write efficient and well-organized software to ship products in an iterative, continual-release environment
Monitor and plan out core infrastructure enhancements
Contribute to and promote good software engineering practices across the team
Mentor and educate team members to adopt best practices in writing and maintaining production code
Communicate clearly and effectively to technical and non-technical audiences
Actively contribute to and re-use community best practices
Embody the values and passions that characterize Levi Strauss & Co., with empathy to engage with colleagues from a wide range of backgrounds
Qualifications
University or advanced degree in engineering, computer science, mathematics, or a related field
Strong experience working with a variety of relational SQL and NoSQL databases
Strong experience working with big data tools: Hadoop, Spark, Kafka, etc.
Experience with at least one cloud provider solution (AWS, GCP, Azure)
Strong experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Ability to work in Linux environment
Experience working with APIs
Strong knowledge of data pipeline and workflow management tools
Expertise in standard software engineering methodology, e.g. unit testing, code reviews, design documentation
Experience creating ETL processes that prepare data for consumption appropriately
Experience in setting up, maintaining and optimizing databases for production usage in reporting, analysis and ML applications
Working in a collaborative environment and interacting effectively with technical and non-technical team members equally well
Relevant working experience with Docker and Kubernetes preferred
Ability to work with ML frameworks preferred
LOCATION
India, Bangalore - Office
FULL TIME/PART TIME
Full time"
Data Scientist,"Bengaluru, Karnataka",Adecco Group Internal,None,Organic,"SUMMARY:
The Data Scientist works as a part of the Business Intelligence Team and is responsible for discovering insights from data using advanced analytics to help meet business needs. This role is responsible for mining and analyzing complex talent data, building predictive models using statistical and machine learning as well as unsupervised methods in order to provide talent analytics for internal and external customers.

GENERAL RESPONSIBILITIES:

Work with stakeholders throughout the organization to identify opportunities for leveraging analytics to drive business solutions
Mine and analyze data to support and drive business strategies.
Use predictive modeling to improve customer experiences and other business outcomes.
Design and build new data sets for data modeling
Determine new ways to improve data and predictive capabilities
Evaluate and deploy predictive models in Power BI or via other avenues
Coordinate with different functional teams to implement models and monitor outcomes.
Participate in special projects and perform other duties as assigned.

EDUCATION & JOB REQUIREMENTS:

Bachelor’s/Master’s in Statistics, Mathematics, Computer Science or another quantitative field or equivalent experience desired
Use statistical computer languages (R, Python, SLQ, etc.) to mine data
Statistical and Machine Learning
Deploy models in Power BI or potentially via other avenues
KNOWLEDGE, SKILLS & ABILITIES:
Strong problem-solving skills
Experience building models using advanced statistical and machine learning techniques
Experience visualizing/presenting data for stakeholders using PowerBI, ggplot, or similar tools
Skilled in communicating effectively
Attention to detail
Ability to establish and maintain effective working relationships.
Ability to maintain and meet deadlines
Experience with business intelligence tools such as Power BI, Spotfire, Tableau, etc
Experience with VMS and/or ATS tools such as Fieldglass, Beeline, Avature, Taleo, or SuccessFactors, strongly desired but not required"
Data Analytics part time job/internship at Multiple location...,"Chennai, Tamil Nadu",Enerjazz,"₹5,000 - ₹10,000 a month",Organic,"About the company:
We are a green energy startup based in Amsterdam funded by the EU. Our founder is from IIT and we operate from Delhi NCR in India.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Build and optimize databases for our battery testing system 2. Analyze and correlate the test data 3. Work on coding IoT for our product
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 11th Aug'20 and 15th Sep'20
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Other requirements:
Must be a graduate student pursuing engineering Must have a background in maths, physics or a related field Must have excellent quantitative and analytical skills Must have advanced Excel skills Must be proficient with other Microsoft Office applications
Number of internships/jobs available: 1
Categories: Analytics,Data Science"
Jr. Data scientist,"Chennai, Tamil Nadu",Blackstraw,None,Organic,"About the job :
Responsibilities :
Responsibilities include Identify, develop and implement the appropriate statistical
techniques, algorithms and Deep learning / ML Models to create new, scalable solutions that
address business challenges across industry domains.
Define and develop, maintain and evolve data models, tools and capabilities.
Communicate your findings to the appropriate teams through visualisations.
Collaborate and communicate findings to diverse stakeholders.
Provide solutions but not limited to: Object detection/Image recognition, natural language
processing, Sentiment Analysis, Topic Modeling, Concept Extraction, Recommender
Systems, Text Classification, Clustering, Customer Segmentation & Targeting, Propensity
Modelling, Churn Modeling, Lifetime Value Estimation, Forecasting, Modeling Response to
Incentives, Marketing Mix Optimization, Price Optimization.
Qualifications and Experience :
Bachelors Computer Science, Information Systems, Machine Learning, Statistics,
Econometrics, Applied Mathematics, Operations Research or related technical degree with
ability to break complex business problems.
Minimum of 1 to 3 years of experience in a related position, as a data scientist or business
analyst building predictive analytics solutions for various types of business problems.
Knowledge of statistical techniques, machine learning algorithms and deep learning
frameworks like Tensorflow, Theano, Keras, Pytorch.
Minimum 1 years of Programming background and expertise in building models using at
least one of the following languages: Python, R ,Java, C,C++.
Company Profile:
Conceptualized as far back as 2015, and commencing full-time operations in 2018, Blackstraw LLc. is a software products and services company specializing in Artificial Intelligence (AI) and Machine Learning solutions for various industries. We support businesses around the world, including North America, Europe and Asia, working to simplify AI implementation through our platform that expedites data labelling, AI model-training, and, cloud or on-premise deployments.
With more than 100 years of combined work-experience, the 100+-strong Blackstraw Team comprises various experts in the AI value chain. We are a fast-moving team that prides ourselves in rapidly identifying different use-cases and fine-tuning our products to suit specific business needs.
We are focused on providing solutions related to computer vision, natural language processing, Data annotation tool for deep learning models, etc. To stay competitive in business, it is key for organizations to adopt and implement smart AI solutions and service offerings. However, most companies are unable to implement AI rapidly due to the complexity of existing solutions, inadequate data and cost implications.
Our mission is to enable enterprises to adopt AI in an easier, cost-effective and time-efficient manner with a plug-and-play approach to their data.
Blackstraw operations are based out of Mumbai, Pune and Chennai in India."
"Data Science Analyst - R, Python",India,Larsen & Toubro Infotech Limited,None,Organic,"Key Responsibilities • Development of statistical models, (predictive and descriptive) using internal and external data to support customer contact activity and collections strategy decision. • Development of Modelling infrastructure; which includes modelling datasets, model scoring and model monitoring • Analyse data to produce, evaluate, interpret and analyse a range of statistical and written information in order to support recommendations that will have a positive impact on policy and strategy • Develop strong relationships with stakeholders to gather and build modelling requirements and to build confidence and trust in model solutions • Support the identification of value adding opportunities, through proactive analytics into any variances in performance and identify underlying causes. • Contribute to the continuous improvement of approaches to modelling techniques and data structures Experience, Knowledge & Technical Skills • Minimum 2 years’ experience in a Data Science Role. • Proficient in developing models using techniques such as Logistic Regression, Linear Regression, CHAID, Random Forests, Gradient Boosting, Cluster Analysis, Discriminant Analysis, Bayesian Algorithms, Neural Networks, SVM, MARS. • Experienced in the use of Business Intelligence, Analytical and Statistical packages (e.g. SQL, SAS, R-Studio, Python, Azure ML) • Excellent communication, interpersonal and listening skills. For analysts based outside of the UK, ability to communicate in English to a high standard is essential • Ability to present complex and detailed data in a simple to understand and innovative way • A high level of customer focus with a proven record of delivering high standards of customer/seller service and experience • Ability to work independently, pro-actively, multi-task (organised) and deliver. • Also able to work in teams, mediating between team members to diminish negative effects on team productivity and work environment • Basic understanding of key commercial aspects of debt management and understand contribution to business • Degree in a Mathematics/Statistics related subject"
Data Analyst,"New Delhi, Delhi",MedTourEasy,"₹7,00,000 a year",Organic,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.

Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.

Responsibilities

Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements

Proven working experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
BS in Mathematics, Economics, Computer Science, Information Management or Statistics"
Fresher/Junior Data Science Developer,"Chennai, Tamil Nadu",HTC Global Services Limited,"₹20,000 a month",Organic,"HTC Global Services hiring freshers for Junior Data Science Developer
Job Description:
HTC Global Services hiring freshers (2018 and 2019 ) for the position Junior Data Science Developer.
Candidates those who are in Chennai and immediately available to attend interview with HTC Global Services (MEPZ, Tambaram) can apply.
About HTC Global Services:
HTC Global Services (HTC) is a leading global provider of Information Technology (IT) and Business Process Services (BPS), headquartered in Troy, Michigan, USA. Established in 1990, HTC is an Inc. 500 Hall of Fame company and one of the fastest growing Asian American companies in the USA. Our client base spans over 2000 organizations across the globe. HTC acquired CareTech Solutions in December 2014 and Ciber, Inc. (Currently Ciber Global LLC) in June 2017. These acquisitions enable us to expand our operational capabilities in Healthcare IT and Technology Transformation services.
HTC is an ISO 9001 and 27001 certified company with processes compliant to SEI CMM Level 5. With over 10 global delivery centers and operating presence in several countries, we serve global clients across multiple time zones. Our ‘Business Partner’ approach enables us to offer high business value for our clients. It also brings in the benefit of repeated business for HTC. Our strategic solutions enable clients to transform and thrive in the changing world.
Designation : Fresher/ Junior Data Science Developer.
Job Requirements:
Key Skills:
Should have good knowledge in basics OOPS concepts.
Must possess good communication skill(both oral and written).
Qualification :
· Bachelors or masters in Science majored in Math/Statistics/Econometrics.
· Bachelors in Engineering with Data science/AI/ML as part of the curriculum
· Management graduates with specialisation in Analytics/Data Science/AI/ML.
Eligiblity Citeria:
· First class throughout curriculum is mandatory(from 10th standard to degree).
Certificates/Diplomas:
Should have done certification in date science, Analytics, Python from leading institutions or through online courses from Coursera/datacamp/udemy/udacity
Must to have:
Have few practical projects experience for a maximum of 2 years, active in Kaggle or other forums.
Probation period : One Year
Salary Offered : CTC 3.00 L pa
Agreement Period:
3 Years from the date of joining and should be ready to submit original documents.
Rounds of Interview:
Round 1: Aptitude (Technical and English )
Round 2: Technical & HR at the company.
Job Type: Permanant, Full-time
Salary: ₹300,000.00 per annum from Training onwards.
Benefits:
Provident fund (PF)
Paid leaves / Leave encashment
Industry:
Software Development
Interested candidates can reach me at :
Pavithra.M
Senior HR @ HTC Global Services Limited
Official Mobile Number: 9840604551
Job Types: Full-time, Fresher
Pay: From ₹20,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)"
Data Science Internship,"Chennai, Tamil Nadu",SIMPLIFAID PVT LTD,"₹15,000 a month",Organic,"About the company:
We are into building products using cutting edge technologies using AI/ ML for the development sector. A deep-tech startup for social good that harnesses the power of digital solutions to help cities graduate to inclusive and sustainable cities. ""Our solutions are driven for societies to flourish by adopting cutting edge technologies as an enabler for its comprehensive and inclusive development"". Our Motto: We help measure the quality of service delivery and co-create action plans with municipal officials based on our location intelligence. Why do yearly performance assessments? We engage with state and national governments for conducting concurrent performance assess. We support other social enterprises, NGOs, and foundations who are on a similar mission to transform Indian cities with our location intelligence. Why don't you speak with us before making an investment in a certain location? We are here to provide you unbiased review that is most critical for your investment decision!
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Working on Python, machine learning, deep learning, and IoT products 2. Implementing models as APIs for consumption of business 3. Building data products using cutting edge technologies
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 3rd Aug'20 and 7th Sep'20
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 2
Additional details:
The intern would get an incentive of up to Rs. 10000 based on the delivery of work.
Categories: Data Science,Engineering"
Machine Learning Internship,"Chennai, Tamil Nadu",E-con Systems India Private Limited,"₹20,000 a month",Organic,"About the company:
e-con Systems is a product company focused on OEM products with the sole motive to help customers to speed up the time to market. Founded in 2003, e-con Systems has been a pioneer in the OEM Cameras and computer on module products. Camera modules include standalone MIPI camera modules and USB cameras. e-con Systems notable contribution has been in the launch of the World's first UVC compatible USB 3.0 camera. e-con Systems was also the world's first standalone stereo camera supplier. System on modules include processors from NVIDIA, NXP(Freescale), and Texas Instruments. These computers on modules have support for android and Linux.
About the internship/job:
Selected interns day-to-day responsibilities include: 1. Work on object detection model pruning in Tensorflow 2. Work on improving the accuracy metric of the object detection model without reducing the performance 3. Work on implementing semantic segmentation model in Tflite
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 13th Aug'20 and 17th Sep'20
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 4
Categories: Machine Learning,Data Science"
