Title,Location,Company,Salary,Sponsored,Description
Digital Marketing Specialist,"Agra, Uttar Pradesh",Foodville Overseas Pvt Ltd,"₹1,50,000 - ₹2,00,000 a year",Organic,"Role: Digital Marketing Expert (Social Media)
Responsible to: Product/Sales Manager
Keywords: Digital marketing, social media marketing, Analytics, Funnel, Growth hacking, Organic Growth hacks, partnerships.
Role and Responsibilities:
Manage social media marketing campaigns and day-to-day activities including: Develop relevant content topics to reach the company's target customers
Develop and Implement the Brand promotion and Marketing strategy as per requirements
Create, curate, and manage all published content (images, video and written)
Manage and optimise acquisition channels with double digit growth month on month
Experienced in using analytics across social, and measurement tools across site and app - Campaign Tracking, Marketing Dashboards
Should be adept in working with data stacks, in analysing trends on an ongoing basis & understand the science from data/user behaviour/funnels to leverage for growth
Key Responsibilities:
Devising strategies to drive online traffic to the company website.
Tracking conversion rates and making improvements to the website.
Managing the redesign of the company website.
Improving the usability, design, content, and conversion of the company website
Responsibility for budgetary control of all digital marketing activities.
Utilizing a range of techniques including paid search, SEO, and PPC.
Assisting in planning social media strategy for the company.
Review new technologies and keep the company at the forefront of developments in digital marketing.
Digital Creative Management :
- Content Creation
Media :
- Managing digital media budgets, earned media, targeting
- SEO, SEM, Precision Targeting - Media efficiency, Productivity
Qualifications:
1) Expertise in digital marketing
2) Expertise in social media: both organic and paid.
3) Deep knowledge of driving organic and direct traffic and improving the same exponentially driven by innovation.
4) Minimum 1-2 year of work experience
5) Good in content writing
6) Acumen of designing
Job Type: Full-time
Salary: ₹150,000.00 - ₹200,000.00 per year
Experience:
Digital Marketing: 1 year (Required)
work: 2 years (Preferred)
Education:
Bachelor's (Required)"
Onboarding Specialist,"Bengaluru, Karnataka",GSK,None,Organic,"Site Name: India - Karnataka - Bengaluru
Posted Date: Aug 11 2020
GSK is one of the world’s foremost pharmaceutical and healthcare companies, and we are proud to be part of an industry that improves the lives of others. We are embarking on a significant transformation journey that will support GSK in becoming a top-quartile data-enabled organisation.
In 2019 we entered into a joint venture with Pfizer Consumer Healthcare to create a new Consumer Healthcare company, home to some of the world’s most trusted brands including Sensodyne, Voltaren, Panadol, Advil, Theraflu, Centrum and Caltrate. This joint venture was the first step in our plan to separate and become two new publicly traded companies, each with the ability to improve the lives of hundreds of millions of people.
Over the next two years, we’ll be rolling out a significant transformation programme – called ‘Future Ready’ – to help us create the world’s largest standalone Consumer Healthcare company and a new leading biopharma company with an R&D approach focused on science relating to the immune system, use of genetics and new technologies.
As part of this programme we’re excited to expand our presence in India with a new world-class Global Capability Centre (GCC) in Bangalore. It’s our ambition to bring together the best and brightest minds, ready to join us in our work to improve the lives of patients and consumers around the globe. In this role you will be working with the transition team to successfully onboard employees who are transitioning into the GCC in a structured and timely way.
This role will provide YOU the opportunity to lead key activities to progress YOUR career. These responsibilities include some of the following.
Coordinate with HR/ recruitment team, transition team and respective functions to develop a consistent end to end onboarding plan for all new recruits; ensuring this is aligned with the wider GSK onboarding programme
Ensure that the onboarding process is smooth and efficient for all parties involved, from new recruits to GCC management and brings in the delight factor
Give weekly updates to the transition lead and GCC management (including functions) on onboarding status and roadblocks
Ensure onboarding is executed to schedule, budget and scope
Promote awareness of the onboarding process within the GCC as well as wider the GSK organisation
The onboarding plan will include:
providing support to new joiners (pre-work/ learning, understanding of site, ensuring access to correct equipment and portals, understanding of standard processes and protocols)
helping new joiners to build internal networks (introduce them to leadership, stakeholders and peers)
enabling high performance and ensuring new joiners are efficient and effective quickly (e.g., training on tools and systems)
introducing the company culture (principles, history, values, products and services, standard communication)
We are looking for professionals with these skills to achieve our goals. If you have them, we would like to speak to you.
Ability to identify, escalate and manage onboarding risks with the transition lead
Experience of onboarding many roles for many functions with personal accountability
Proven knowledge of onboarding processes and common methodologies / tools
Good exposure in previous roles to multi-cultural, transversal functions
Experience, with concrete examples, of taking initiative and being a self-starter
Excellent interpersonal and organizational skills
High energy, and ability to engage with new employees
Why GSK?
Our values and expectations are at the heart of everything we do and form an important part of our culture. These include:
Patient Focus
Transparency
Respect
Integrity
Courage
Accountability
Development
Teamwork.
As GSK focuses on our values and expectations and a culture of innovation, performance and trust, the successful candidate will need to demonstrate the above capabilities.
LI-GSK
Our goal is to be one of the world’s most innovative, best performing and trusted healthcare companies. We believe that we all bring something unique to GSK and when we combine our knowledge, experiences and styles together, the impact is incredible. Come join our adventure at GSK where you will be inspired to do your best work for our patients and consumers. A place where you can be you, feel good and keep growing.

Important notice to Employment businesses/ Agencies
GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.

It has come to our attention that the names of GlaxoSmithKline or GSK or our group companies are being used in connection with bogus job advertisements or through unsolicited emails asking candidates to make some payments for recruitment opportunities and interview. Please be advised that such advertisements and emails are not connected with the GlaxoSmithKline group in any way.
GlaxoSmithKline does not charge any fee whatsoever for recruitment process. Please do not make payments to any individuals / entities in connection with recruitment with any GlaxoSmithKilne (or GSK) group company at any worldwide location. Even if they claim that the money is refundable.
If you come across unsolicited email from email addresses not ending in gsk.com or job advertisements which state that you should contact an email address that does not end in “gsk.com”, you should disregard the same and inform us by emailing askus@gsk.com, so that we can confirm to you if the job is genuine."
"Specialist, Quantitative Analytics and Data Science","Bengaluru, Karnataka",Gartner,None,Organic,"What makes Gartner Research & Advisory a GREAT fit for you? When you join Gartner, you’ll be part of a leading-edge team that values expert insights, bold ideas and intellectual curiosity. You’ll deliver must-have research through compelling client interactions and provide clients the unbiased insight and advice they need to make the right decisions every day. Through constant learning, discovery and collaboration, you’ll help clients deliver on their mission-critical priorities and make a global impact. If you’re looking to explore what’s next in technology and business, Gartner is looking for you.
Interested in learning more, view and register for any of our upcoming recruiting events here!
Specialist Quads
The Team and Leader Statement:
In order to improve the operational efficiency and continue to delight customers, Gartner is investing in TalentNeuron’s Product Management team. You will be part of this team of talented associates working to provide product vision and guidance in developing new features and methodologies for Gartner’s TalentNeuron suite of workforce analytics products. This team supports Gartner Business Value by ensuring TalentNeuron’s products are addressing clients’ Mission Critical Priorities. The leader of this team encourages the pursuit of Gartner’s Values of Integrity, Objectivity, No-Limits Mindset, Collaboration, and Results in all endeavors.
About this Role:
As an Associate Product Manager, you will work with Gartner’s TalentNeuron’s Machine Leaning and Methodology Implementation team to help improve TN’s current enterprise architecture and execute a future vision and strategy for that environment in collaboration with the Sr. Product Manager. Your duties will include owning the team’s technical roadmap and providing day-to-day support in the form of user story definition, grooming and collaboration with the Machine Leaning and Methodology Implementation team. You drive to deliver value, features, prioritization and requirements for TalentNeuron’s analytical engine, supporting the Sr. Product Manager in realizing the overall vision for TN’s back-end teams.
The job requires an individual with lateral problem-solving skills, excellent communication skills, the ability to translate technical requirements into actionable and testable stories and acceptance criteria, and the ability to understand complex technical environments.
What you’ll do:
Collect information on user needs and develop roadmap
Understand multi-year technology vision and overall strategic direction of TN’s Methodology and Machine Learning environment and develop a deep understanding of the value it should provide to TalentNeuron’s clients.
Work with TN Data Excellence and Data Science teams to identify priorities for improvements in methodologies and performance.
Support and coordinate internal feedback sessions on concepts and enhancements.
Work with Machine Leaning and Methodology Implementation team to deliver value to clients
Provide detailed documentation of requirements in the form of user stories and acceptance criteria, and support grooming efforts with Data Excellence and Data Science teams to ensure clear understanding of the requirements and validate value through UAT and other testing efforts.
Coordinate with Sr. Product Manager to prioritize sprint backlogs to deliver the greatest amount of value soonest to clients
Monitor success metrics
Coordinate with Sr. Product Manager to define and maintain success metrics for system performance
Coordinate with Sr. Product Manager to define and maintain success metrics for client impact
What you’ll need:
Bachelor’s Degree
0-3 years of experience in product management roles
Knowledge of Agile Scrum methodologies
Ability to understand and document complex systems and interactions
Strong collaboration and communication skills
Strong practical experience with relational database query languages (e.g., SQL, Oracle, etc.)
Experience with programming (e.g., Java, Python, etc.)
Experience writing user stories (preferred)
Experience with JIRA (preferred)
Familiarity with machine learning systems
Who you are:
Problem solver - You love solving unstructured problems and are excited about designing solutions that provide an effortless experience for users.
A team player - You get along well with your colleagues and are always ready to help get things done. You enjoy working on projects with multiple people and share knowledge.
Passionate about learning - You thrive on complex technical challenges and are always eager to learn the latest tools, technologies and techniques
What we offer:
In addition to an outstanding work environment with rapid advancement potential, Gartner research team enjoys exceptional benefits, including:
Competitive base salary
Great on job learning
Inordinate work life balance
About Gartner:
Gartner, Inc. (NYSE: IT), is the world’s leading research and advisory company and a member of the S&P 500. We equip business leaders with indispensable insights, advice and tools to achieve their mission-critical priorities today and build the successful organizations of tomorrow.
Our unmatched combination of expert-led, practitioner-sourced and data-driven research steers clients toward the right decisions on the issues that matter most. We’re trusted as an objective resource and critical partner by more than 15,000 organizations in more than 100 countries — across all major functions, in every industry and enterprise size.
To learn more about how we help decision makers fuel the future of business, visit gartner.com
Diversity, inclusion and engagement at Gartner:
The policy of Gartner is to provide equal employment opportunities to all applicants and employees without regard to race, color, caste, creed, religion, sex, sexual orientation, gender identity or expression, marital status, citizenship status, age, national origin, ancestry, disability, or any other characteristic protected by applicable law. Gartner affirmatively seeks to advance the principles of equal employment opportunity and values diversity and inclusion.
Gartner is an Equal Opportunity Employer and offers opportunities to all job seekers, including job seekers with disabilities. If you are a qualified applicant with a disability and unable to or limited in your ability to use or access the Gartner’s career webpage as a result of your disability, you may request reasonable accommodations by calling Human Resources at +1203-964-0096 or by sending an email to Applicant.Assistance@gartner.com
Job Requisition ID:46354
By submitting your information and application, you confirm that you have read and agree to the country or regional recruitment notice linked below applicable to your place of residence.
Gartner Applicant Privacy Link: https://jobs.gartner.com/applicant-privacy-policy
For efficient navigation through the application, please only use the back button within the application, not the back arrow within your browser."
Data Science Specialist,"Bengaluru, Karnataka",Great Learning,None,Organic,"Data Science Specialist
Gurgaon & Bangalore
Key Responsibilities
Owning new initiatives for learning content and experience for our flagship program BABI (Business Analytics & Business Intelligence)
Ensuring ongoing review of the learning content and identifying opportunities to improve quality in terms of appropriateness, accuracy, richness.
Ensuring the efforts towards updating the content as well as creating additional content - videos, reading material, exercises and assignments.
Deliver a great learner support experience by ensuring timely response and feedback on all academic queries from learners
Leading initiatives to deliver solutions to key business problems in Operations and customer experience
Project Management for delivery excellence
Drive cross-pollination of ideas and knowledge with in-house data science team to deliver in-house solutions and translate them into learning material & case studies for learners
Use insights derived from ad-hoc data analysis to answer ad-hoc questions as well as drive processes improvements so that Great Learning’s business requirements are met
Collaborate with internal stakeholders to consistently align data interpretation with evolving business processes
Refine existing solutions & products as well as handcraft new features in the Learning Management System for superior end user experience
Create unique learning experiences that enable Great Learning customers to have a delightful learning experience and meaningful outcomes
Conceptualize, plan and execute hackathons & ad-hoc competitions,
Fostering and leveraging relationships with industry leaders in Analytics to organize conferences, panel discussions, Analytics industry sessions
Qualification:
Solid understanding and working knowledge of advanced techniques like supervised &unsupervised learning, including but not limited to, hypothesis testing, regression, clustering,decision trees, prediction techniques, model tuning and model performance measures etc.
Good aptitude, ability to think logically and problem-solve
Ability to work under pressure and tight deadlines
Ability to learn quick - ability to learn business, processes, techniques and technologies on the go
Prior experience of deploying analytics solutions
Ability to lead teams
Good understanding of what analytics is - from data to decisions
Good ability to work with complex, unstructured data from multiple sources - consolidate, analyze, interpret, clean and transform to get it ready for analysis
Ability to design approaches to solve a problem using data analysis techniques
Ability to interpret data, present/visualize metrics and extract meaningful insights to answer business problems
Good proficiency with Microsoft Office Suite
Strong working knowledge of SQL, R/Python, Excel
Excellent oral and written communication skills
Sounds like ""the"" job for you? Send in your CV @ careers@greatlearning.in & we will reach out to you accordingly."
Data Specialist Analyst,"Bengaluru, Karnataka",JLL,None,Organic,"JLL, an international real estate management company, is looking for a Data specialist to join our Centre of Expertise (CoE). We are seeking candidates that are self-starters who can work in a diverse team across different time zones and fast-paced environment that can join our team immediately.

About the Role:
#JLLTechAmbitions
JLL is looking for a Data Specialist to support a key Global Transformation/Migration Program. The person will work closely with Regional and Country data lead along with local business team. The role will have wide range of responsibilities in variety of areas including data cleansing, research on company/client data and interact with business to provide key information back to the system.

Responsibilities:
Develops technical understanding of how the data flows from various source systems and source types to a modelled database solution in the data warehouse after series of transformations and data manipulations.
Consults with the business to develop documentation and communication materials to ensure accurate usage and interpretation of JLL business requirements.
Able to perform data stewardship and enrichment/enhancements on internal JLL data from Property and Company information from proprietary/reliable sources on the web.
Carry out data validation and testing tasks for enterprise data.
Ensures proper escalation, prioritization and remediation of data quality issues.

Sound like you? To apply you need to be / have:
Experience & Education
Minimum 2-3 years of work experience in the fields of information science, data management and/or computer science.
Good command of written and spoken English.
Bachelor’s degree in Information Science, Computer Science, Mathematics, Statistics or a quantitative discipline in science, business, or social science.

Technical Skills & Competencies:Mandatory:
SQL
SQL Server
Python
Alteryx
Advanced MS Excel

Preferable:
Proficient working with any HR ERP or SaaS Data models, SQL, SQL Server, Python and Alteryx.
Proficient working with MS Excel and Excel macros (a plus but not a mandatory requirement)
Good technical writing, documentation, and communication skills.
Self-motivated, positive attitude and a team player.
Strong organizational skills and the ability to deal with large volumes of data.
Ability to multi-task, work successfully under pressure, and effectively prioritize and manage time and workload to meet client needs.

What we can do for you:
At JLL, we make sure that you become the best version of yourself by helping you realize your full potential in a fully entrepreneurial and inclusive work environment. If you harbour passion for learning and adapting new technologies, JLL will continuously provide you with platforms to enrich your technical domains. We will empower your ambitions through our dedicated Total Rewards Program, competitive pay and benefits package. It’s no surprise that JLL has been recognized by the Ethisphere Institute as one of the 2019 World’s Most Ethical Companies for the 12th consecutive year.

Apply today!"
Data Analytics Specialist,"Bengaluru, Karnataka",Covance,None,Organic,"Job Overview:
Covance’s Global Specimen Solutions (GSS) business provides specialty services in the holistic specimen tracking space. GSS improves translational science in the drug discovery process through industry best practices and a uniquely powerful pipeline data management analytics solution. GSS reduces the time, cost and risk of specimen based research, while building robust, healthy data pipelines that optimize research opportunities

Function Specific Demonstrate the ability to multi-task, working on multiple user requests at the same time Utilize analytical and/or technical skills to meet project objectives and deliverables that are within project scope Self-driven and capable of identifying critical paths to meet business timelines Work with Business Analysts to understand business requirements and effectively convert requirements into code Ability to guide users as to best way to solve data transformation problems Collaborate with Data Management to perform tests and provide update to data loading modules and activities within schedule and provide support to data processing Collaborate with other developers to share workload in the requests queue.
Customer Facing This position requires some participation in client calls to understand their needs and capture requirements and to help the Data Operations group answer client questions as to how best to address client issues/concerns
Metrics Design and implement all publication activities such as dashboards and maintain required system documentation according to IT applications and SDLC procedures and provide support to all activities and provide resolution Support generation and management of metrics.
Staff and Financial Management Understand implications of activities to project budgets. Monitor changing business requirements and validate/re-validate existing designs and schedules of data loading processes and document as necessary
Process Improvement Suggest process improvements where issues are seen. Support Six Sigma process improvement teams.
Training / SOPs Reviews training materials for staff. Mentor and support other developers in their understanding and execution of Data loading activities Active member of SOP review teams as assigned.
Other Assist with special projects as designated. Perform other duties as assigned by management. Education/Qualifications:
Bachelor’s degree required or equivalent in experience Experience: 1 years’ experience with at least one Object Oriented Language is required (.NET Framework, Ruby, Ruby-On-Rails, Java, Python) 0-1 years’ experience with Cloud Computing (Amazon Web Services, Microsoft Azure) is required 1 years’ experience with Database Systems (Oracle, MySQL) is required Knowledge of Software Development Life Cycle is required. Knowledge of Agile methods preferred Minimum 0 - 1 years of in a Clinical Trials setting or equivalent experience. Minimum 0 - 1 years system development experience or equivalent work experience in a regulated (FDA, EPA, etc.) environment required. Strong attention to detail. Strong analytical skills, preferably in a GCP environment. Experience with 21 CFR Part 11 in a pharmaceutical, biotechnology, CRO or related industry. Problem Solving/Logic Skills. Strong communication and interpersonal skills. Strong MS/Office skills, in particular with Excel and Word."
Bioinformatics Specialist -Genetics,"Delhi, Delhi",FutureMed Devices Pvt Ltd,None,Organic,"Job Summary
FutureMed is a R&D driven Genomics Company helping people live a healthier version of themselves by screening individuals at molecular level (genes & DNA) and utilizing data analytics which enables individuals with right knowledge, tools and plans to take charge of their health. We work with clinicians, skin specialists, dieticians, nutritionists and fitness trainers to provide comprehensive, reliable genomic information with the ultimate goal of improving health through personalized medicine, diagnosis, nutrition and fitness.
Responsibilities and Duties
a) Experience with genetic data analysis including SNPs, INDELs, CNVs, genomes, and exomes
b) Knowledge of databases; programming proficiency is necessary
c) Prior experience in curating genetic reports will be an advantage
d) Cross-platform familiarity will be an advantage.
e) Set-up new panels or design new products.
f) Prepare pipelines for each panel.
g) Write automation programs by interpreting requirements as designated.
Qualifications and Skills
Ph.D. /Master’s in Life science/Biotech/Genetics or related field.
Min. 1-2 year of industry experience.
Experience with computer programming, IT, and techniques for automating molecular biology laboratory applications
Technically competent and personable with a diverse group of scientists
Strong analytical, problem solving, and communication skills
Familiarity with laboratory techniques in biochemistry and molecular biology
Experience with NGS , Sanger sequencing, or Microarray analysis.
Benefits
As per standard policy.
Job Type: Full-time
Experience:
Bioinformatics: 2 years (Required)
NGS data analysis & project management: 2 years (Preferred)
total work: 2 years (Required)
Education:
Master's (Required)
Required travel:
50% (Preferred)
Benefits:
Other
Industry:
Medical Information
Work Remotely:
No"
Data Specialist,"Jaipur, Rajasthan",Traction on Demand,None,Organic,"Jaipur | Data |
As our Data Specialist, you love a challenge and are eager to learn. You understand people, and have the ability to hear a symptom, identify the problem and scribe a solution. You work well in a casual yet fast-paced team environment. You work well with others yet have the independence to support and drive projects. You have what it takes to grow with our business, for the long run.
Traction on Demand’s hiring philosophy is based on culture, intelligence and then skills. Here’s what we mean by that:
Culture
Culture at Traction on Demand isn’t about drinking beer and playing ping-pong – it’s much more. We are looking for people who want to join an active community of engaged individuals who see business as more than just a vehicle to make money. We care about our people, wider community and planet. Come join us on this journey!
Traction on Demand is a group of entrepreneurs committed to creating ecstatic clients, doing enjoyable work and being efficient in everything we do. We fail fast and love to innovate. Change is our middle name.
Our values don’t just sit on a glossy page. We live them every day. Our values are the cornerstone of who we are – do they resonate with you?
Embrace Knowledge
Do the right thing
Seek adventures and smiles
Healthy hearts and heads
Pursue opportunity
Build community
Intelligence
People often ask what it takes to succeed at Traction on Demand – you’ve got to be smart, without having an ego. What does that mean? Imagine working with a group of your smartest friends who all love to learn. Everyone is always pushing each other to grow and innovate at a pace that can only be called furious. We are never idle or stagnant. We seek and share knowledge. We are comfortable with the unknown. We just “git ‘r done.”
Skills
Tractionites come from a variety of backgrounds, and we are eager to find people that are from non-traditional backgrounds. Typically, we find that people are successful in this role when they have:
Bachelors in Computer Science or equivalent qualification
2-4 years’ experience working with customer data, ideally integrated into a CRM system or Data Warehouse environment. 2+ years SQL experience. SQL Server experience is desired
Solid experience with an ETL tool (Mulesoft, SSIS, Informatica PowerCenter or Dell Boomi, etc.)
Experience on Data management, Data Security, Data Archiving, Data Profiling, Data Cleansing.
Good knowledge of Salesforce.com fundamentals, Terminologies, Objects & Data Model.
Excellent analytical, logical and problem-solving skills.
Excellent spoken and written communication skills.
Ability to convert high-level requirements into a solution – i.e. you do not need a detailed specification to be successful
Sound understanding of governance and MDM approaches
What You Will Be Doing
Analyzing external system data structures and developing integrations with Salesforce
Coding and implementing “org merges” to combine multiple Salesforce instances into one or to migrate data from legacy CRM systems
Designing & implementing governance, mastering & enrichment approaches for Salesforce data, with a focus on customer data
Conducting data audit, cleansing and de-deduplication projects to clean data
Designing & developing data integration between Legacy Systems or Marketing Automation tools and Salesforce.
Conducting analysis of customer data to identify key predictors of activity: From lead management through to forecasting
If you’re interested, so are we! Send your resume our way, and we’ll contact you for a phone interview.
At Traction on Demand, we aim to change the world by challenging the traditional consulting model and building community with our clients, partners and neighbours. At our core, we’re about improving the way companies do business by leveraging technology – salesforce.com, technology partners and our own libraries of intellectual property. We are a people-first organization, creating long-term relationships with our clients and growing with them as strategic business partners. Our clients are varied in size, geography and industry, and include some of the world’s largest technology firms. Traction for Good, our community engagement program, and our involvement as one of the first 100 B Corps in Canada are just a couple of the reasons why we have been named to the Best Places to Work in Canada top 10 list for several years running.
We are an equal opportunity employer and love diversity at our company! We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, or disability status.
Apply Now
Traction on Demand"
Educational Specialist - Science,"Bengaluru, Karnataka",Educational Initiatives,None,Organic,"Role and Responsibilities
Educational Specialist - Science

Job Type:
Full-time

Role and

Responsibilities:
The science content team at Educational Initiatives is involved in creating

discerning questions

and

interactive content like

games, enrichment modules, etc. to help children learn with

understanding.

The team also works on creating engaging and insightful assessment tools that

test the level of understanding of the science content and competence in the science process

skills of children. We are looking for

passionate individuals who would love to go deeper into

how children learn science and to build high-quality learning

modules and assessment tools that

can uncover gaps in

students’

learning.

The role mainly involves c

reating and review of engaging content for the

learning and

assessment product

s

–

ASSET

,

Detailed Assessment

and

Mindspark

w

hich include

s

the

following

:

â—

C

reating creative

assessment

items

for diagnostic and benchmarking purposes

â—

Using research on pedagogy to build discerning questions and create interactive science

content like games, enrichment modules, etc

.

to help children learn with understanding

â—

R

eviewing

and revising

existing content based on quality

,

technical correctness

and

student performance data

â—

Reading and sharing summaries of research papers, articles related to

science

education

i

n national and international publications

â—

Interacting with teachers and students for insights

about students’ learning

â—

Leading small tasks/projects within the science content team
Must have
Must-Have

:

â—

Excellent subject knowledge

â—

Excellent written and oral communication skills

â—

Ability to critically analyse assessment and learning content

â—

Basic technological awareness

â—

Sticking to tight schedules and effective workload management
Educational Specialist - Science

Job Type:
Full-time

Role and

Responsibilities:
The science content team at Educational Initiatives is involved in creating

discerning questions

and

interactive content like

games, enrichment modules, etc. to help children learn with

understanding.

The team also works on creating engaging and insightful assessment tools that

test the level of understanding of the science content and competence in the science process

skills of children. We are looking for

passionate individuals who would love to go deeper into

how children learn science and to build high-quality learning

modules and assessment tools that

can uncover gaps in

students’

learning.

The role mainly involves c

reating and review of engaging content for the

learning and

assessment product

s

–

ASSET

,

Detailed Assessment

and

Mindspark

w

hich include

s

the

following

:

â—

C

reating creative

assessment

items

for diagnostic and benchmarking purposes

â—

Using research on pedagogy to build discerning questions and create interactive science

content like games, enrichment modules, etc

.

to help children learn with understanding

â—

R

eviewing

and revising

existing content based on quality

,

technical correctness

and

student performance data

â—

Reading and sharing summaries of research papers, articles related to

science

Education

i

n national and international publications

â—

Interacting with teachers and students for insights

about students’ learning

â—

Leading small tasks/projects within the science content team
Education

:

Subject background in

Maths

/Science, at a

Bachelor

level or above
Experience
Experience

:

0-2 years of experience in teaching and/or content development"
Medical Data Review Specialist/ Associate Manager/ Manager,"Bengaluru, Karnataka",Covance,None,Organic,"Job Overview:
Collaborates in the development of Central Monitoring proposal text and review of costing, contributes to proposal strategy and development when Central Medical Review is included Support Sponsor presentations / bid defenses. Ensures that tracking and status reporting are performed in a timely and accurate manner. Applies data to recommend any patient safety concerns Identify and evaluate safety signals based on individual cases and cumulative data assessment and by using other signal detection systems. Contributes to the Risk Assessment and Categorization Tool for topics related to medical review and considers risks when planning Xcellerate® Medical Review configuration Supports the Data Expert with Critical Data and Process Definition and EDC design implementation Supports the development of medical review requirements, including design of the visualizations, taking into consideration the data feeds for the study (EDC, laboratory, etc.). Drafts and finalizes the Central Medical Review Configuration Plan. Maintains this Plan throughout the study including re-versioning as required. Drafts Central Monitoring /Central Medical Review Plans in collaboration with the Central Monitoring Manager (if applicable) and Project Physician and updates these on an ongoing basis including the refinement of visualizations and any change in data. Manages configuration of Xcellerate® Medical Review (XMR) tool, programming of study specific visualizations included in XMR and performs user acceptance testing of the tool Performs ongoing Central Medical Review, discusses findings with Project Physician (internal and/or client) and ensures that identified issues are followed to resolution, and where required, that a report is written. May act as subject matter expert based on education qualification/experience. Provide data-driven decisions and communicate these findings proactively and effectively to the key stakeholders. Take responsibility for inspection readiness for medical assessment activities; support regulatory authority inspections when needed. Collaborates with other Central Monitoring activities to ensure consistency and effectiveness. Evaluates and collates process improvement suggestions and submits to leadership. Evaluates and submits ideas and justification for improved systems and tools to leadership. Provide training on the project and process to new team members. Education/Qualifications:
Medical Doctors, Allied medical degrees, Post-graduation in Life sciences or any other applicable qualifications Experience:
Medical doctors with 2-7 years of experience in clinical research roles in addition to medical practice or Para professionals and Life science graduates with 5-8 years of clinical research/equivalent experience are needed for multiple openings for our Medical Data Review team"
