Title,Location,Company,Salary,Sponsored,Description
Machine Learning Engineer,"Bengaluru, Karnataka",TensorIoT Software Services Pvt. Ltd.,None,Organic,"We are a consulting company in the IoT (Internet of Things) and ML/AI (Machine Learning/Artificial Intelligence) space looking for a back-end software developer/engineer to use the AWS (Amazon Web Services) platform. We work to build new and unique solutions in the smart devices industry across many different industry sectors.
Responsibilities include leading face to face conversations with clients, architecting and implementing solutions, writing concise documentation, and mentoring junior developers. If you’re a mid-level or seasoned developer with a love for cutting-edge technology, we’d love to meet you!
You have:
Study and transform data science prototypes
Design machine-learning systems
Research and implement appropriate ML algorithms and tools
Develop machine-learning applications according to requirements
Select appropriate datasets and data representation methods
Run machine-learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Train and retrain systems when necessary
Extend existing ML libraries and frameworks
Keep abreast of developments in the field
Machine Learning Engineer responsibilities include:
Designing and developing machine learning and deep learning systems
Running machine learning tests and experiments
Implementing appropriate ML algorithms
Must have/Requirements
· Proven experience as a Machine Learning Engineer or similar role
· Must have experience with integrating applications and platforms with cloud technologies (i.e. AWS)
· Must have experience with Docker containers.
· Experience with GPU acceleration (i.e. CUDA and cuDNN)
· Create feature engineering pipelines to process high-volume, multi-dimensional, unstructured (audio, video, NLP) data at scale
· Knowledge of server-less architectures (e.g. Lambda, Kinesis, Glue).
· Understanding of end-to-end ML project lifecycle.
· Must have experience with Data Science tools and frameworks (i.e. Python, Scikit, NLTK, Numpy, Pandas, TensorFlow, Keras, R, Spark, PyTorch).
· Experience with cloud-native technologies, microservices design, and REST APIs.
Knowledge of data query and data processing tools (i.e. SQL)
· Deep knowledge of Maths, Probability, Statistics, and Algorithms
· Strong understanding of image recognition & computer vision.
· Must have 8 years of experience
· Excellent communication skills
· Ability to work in a team
· BSc in Computer Science, Mathematics or similar field; Master’s degree is a plus
Job Type: Full-time
Experience:
Machine Learning: 8 years (Required)
work: 8 years (Required)
total work: 8 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
No"
Data Engineer,"Bengaluru, Karnataka",Levi Strauss & Co.,None,Organic,"JOB DESCRIPTION
At Levi Strauss & Co, we are revolutionizing the apparel business and redefining the way denim is made.
We are taking one of the world’s most iconic brands into the next century:
from creating machine learning-powered denim finishes to using block-chain for our factory workers’ wellbeing, to building algorithms to better meet the needs of our consumers and optimize our supply chain.
Be a pioneer in the fashion industry by joining our global Data, Analytics & AI “startup with assets,” where you will have the chance to build exciting solutions that will impact our business and at the same time be part of a bigger, across-continents, data community.
As a data engineer, you will build a solid data foundation that powers the entire spectrum from Business Intelligence to Artificial Intelligence. You’ll be critical to helping us in our transition from batch to real-time, one-to-one to many-to-many connections, centrally-managed infrastructure to self-service tools that allow easy experimentation, and from manual to automated processes.
This role will work closely with the Data Science and AI team and will focus on enablement and acceleration of new and existing workflows. We need someone who will bring thoughtful perspective, empathy, creativity, and a positive attitude to solve problems at scale. This role is ideal for someone looking to extend software engineering skills into the field of Machine Learning and Artificial Intelligence.
Duties and responsibilities
Establish scalable, efficient, automated processes for data analyses, model development, validation and implementation
Work closely with data scientists and analysts to create and deploy new features
Write efficient and well-organized software to ship products in an iterative, continual-release environment
Monitor and plan out core infrastructure enhancements
Contribute to and promote good software engineering practices across the team
Mentor and educate team members to adopt best practices in writing and maintaining production code
Communicate clearly and effectively to technical and non-technical audiences
Actively contribute to and re-use community best practices
Embody the values and passions that characterize Levi Strauss & Co., with empathy to engage with colleagues from a wide range of backgrounds
Qualifications
University or advanced degree in engineering, computer science, mathematics, or a related field
Strong experience working with a variety of relational SQL and NoSQL databases
Strong experience working with big data tools: Hadoop, Spark, Kafka, etc.
Experience with at least one cloud provider solution (AWS, GCP, Azure)
Strong experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Ability to work in Linux environment
Experience working with APIs
Strong knowledge of data pipeline and workflow management tools
Expertise in standard software engineering methodology, e.g. unit testing, code reviews, design documentation
Experience creating ETL processes that prepare data for consumption appropriately
Experience in setting up, maintaining and optimizing databases for production usage in reporting, analysis and ML applications
Working in a collaborative environment and interacting effectively with technical and non-technical team members equally well
Relevant working experience with Docker and Kubernetes preferred
Ability to work with ML frameworks preferred
LOCATION
India, Bangalore - Office
FULL TIME/PART TIME
Full time"
Machine Learning Engineer,"Chennai, Tamil Nadu",iStudio Technologies,None,Organic,"Machine Learning / Deep Learning Engineer. - Junior
Deep understanding about various ML/DL algorithms
Prior knowledge in Prediction Systems
Prior knowledge & any course in ML/DL is must
Good knowledge in Python
Scikit Learn, Keras libraries
Job Type: Full-time
Experience:
Machine Learning: 1 year (Preferred)
Kears: 1 year (Preferred)
ML, DL : 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Machine Learning Engineer,"Bengaluru, Karnataka",Palpx technologies Private Limited,"₹50,000 - ₹65,000 a month",Organic,"Machine Learning Engineer
Brief:
We are Palpx, a Design, Media and Technology company looking to set up its design and development base in India and we are on the lookout for sharp, ambitious and enthusiastic go getters to join our team of creative creators.
A multi-diverse team with the mix of talent from top institutes of India - IIT's, NID and other Industry stalwarts, we are highly skilled in developing conceptualizing flawless user experience, creating brand identity, producing evocative graphical content and communicating values through online and digital marketing services. Our tech team at palpx pursue applications of AI and Machine learning in creating next level intelligent systems in the healthcare domain. We also provide technical consulting services to our global partners.
Our global exposure is what helps in providing directions and converting ideas to solutions and professionally guiding organizations to grow and succeed, while efficiently providing personalized solution for their customers make us stand apart in the business.
Job Purpose :
Implementing machine learning systems for Natural Language Processing as per the requirements given. Write scripts to carry out experiments, data cleaning and data collection. Deploy and create services in cloud.
Roles & Responsibilities :
Quickly write scripts for performing machine learning experiments.
Work with large video, speech, text and image datasets. Write scripts to curate, generate, format, clean the data set.
Create workflows and tools to label and annotate data
Perform exploratory analysis on data
Implement deployable training and inference systems.
Containerize the application and deploy in a horizontally scalable manner.
Monitor and perform maintenance if required.
Create documentation for the system.
Create a unit test plan. Perform unit testing.
Maintain Code Base.
Experience – 1 to 3 years.
Package – 7 to 10 LPA.
Number of Positions Vacant – 1
Expected Skills - Python, javascript, pytorch, tensorflow, Good with data structures and algorithms, good knowledge in machine learning algorithms and workflows
Job Type: Full-time
Salary: ₹50,000.00 - ₹65,000.00 per month
Experience:
Machine Learning: 1 year (Preferred)
work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
NLP Engineer for a Product Based Company,"Bengaluru, Karnataka",Shaw Academy,None,Organic,"Responsibilities:
Should be able to make content specific chat models based off of large bodies of related text content.
Should be able to implement machine learning models best suited for solving business problems.
Should be familiar methods like entity recognition and information extraction.
Should be able to work with databases like redshift, MySQL.
Experience:
At least 2+ years of experience.
Have prior experience using machine learning & NLP.
Knowledge of supervised learning methods like Naive Bayes, SVM, neural networks.
Knowledge of unsupervised classifications methods like k-means, DBscan.
Some experience using flask or similar API building tools
Knowledge of scripting language like python, NodeJS, R.
Prior experience in working with databases and fetch data from various data sources.
Working experience with Python NLTK.
Job Type: Full-time
Salary: ₹1,000,000.00 - ₹15,000,000.00 per year
Experience:
Machine Learning: 1 year (Preferred)
Python: 1 year (Preferred)
NLP : 1 year (Preferred)"
Machine Learning Internship,"Chennai, Tamil Nadu",E-con Systems India Private Limited,"₹20,000 a month",Organic,"About the company:
e-con Systems is a product company focused on OEM products with the sole motive to help customers to speed up the time to market. Founded in 2003, e-con Systems has been a pioneer in the OEM Cameras and computer on module products. Camera modules include standalone MIPI camera modules and USB cameras. e-con Systems notable contribution has been in the launch of the World's first UVC compatible USB 3.0 camera. e-con Systems was also the world's first standalone stereo camera supplier. System on modules include processors from NVIDIA, NXP(Freescale), and Texas Instruments. These computers on modules have support for android and Linux.
About the internship/job:
Selected interns day-to-day responsibilities include: 1. Work on object detection model pruning in Tensorflow 2. Work on improving the accuracy metric of the object detection model without reducing the performance 3. Work on implementing semantic segmentation model in Tflite
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 13th Aug'20 and 17th Sep'20
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 4
Categories: Machine Learning,Data Science"
Machine Learning Intern,"Calicut, Kerala",T T,None,Organic,"Looking for machine learning/python interns who are quick learners and have some programming background.
Python background not mandatory.
Mode: Online
Job Types: Full-time, Internship, Fresher"
Machine Learning Engineer,"Pune, Maharashtra",Brightleaf Solutions,None,Organic,"Job Description:
Candidate is expected to understand and develop relevant Natural Language Processing and Text Extraction model as per business need.
Ideal candidate must be a keen problem solver and can transforming business requirements to working real life applications
Candidate is expected to deliver the working solution in stringent timelines
Must have developed and delivered multiple NLP projects to cloud platforms in past, using DevOps
Past experience of Hackathon participation will be added advantage
Required skill-set:
In-depth knowledge of Python, NumPy, Pandas and other Python packages
Exceptional command on entity extraction from unstructured data using NLTK, SpaCy, BERT, PyTorch and other packages
Well versed with deep learning algorithms and text analytics tools like RNN, LSTM, word2vec, Glove, Keras, TensorFlow and so on.
Exposure to Python Djengo or Python Flask
Knowledge of Docker,GitHub, MongoDB and AWS will be added advantage
Conversant with Agile, Scrum methodologies
Proven, in-depth understanding of ML algorithms and modeling including supervised, and unsupervised learning models
Job Type: Full-time
Work Remotely:
Temporarily due to COVID-19"
AI and Deep Learning Trainer,"Bengaluru, Karnataka",Perceptrons,"₹20,000 - ₹40,000 a month",Organic,"Job Description:
1. Good domain knowledge on data science with min 3-4 yrs
2. Good knowledge on Hadoop, Statistics, SQL,Python,Machine Learning,Deep Learning,NLP, Tensor-flow etc
3. Able to take CLASSROOM or ONLINE Daily/weekend classes at Rajajinagar Branch, Bangalore.
4. Need to handle 2-3 Batches per month (Incl Online & Classroom)
Skills Required:
Artificial Neural Network (ANN), Deep Learning, Machine Learning (ML), NLP, Computer Vision, etc
We are Global AI training institute located in Bangalore and US. for more details visit us at perceptrons.ai
Job Types: Full-time, Part-time
Salary: ₹20,000.00 - ₹40,000.00 per month
Experience:
work: 3 years (Preferred)
total work: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Industry:
Education & Instruction
Work Remotely:
Yes"
Deep Learning Intern WFH,Remote,Clarion Analytics LLP,None,Organic,"CLARION ANALYTICS is looking for Deep Learning Interns for its IVA team to develop and commercialise Artificial Intelligence solutions for the markets.
Role
Construct ,curate and work on problem specific datasets.
Study and develop state of the art techniques in deep learning.
Analyze and improve performance of GPU implementations.
Your Background
You are pursuing a PhD or Masters or Bachelor or equivalent in Computer Science, Artificial Intelligence, or Applied Math.
Solid understanding for deep learning and a strong algorithmic background
Excellent programming, debugging, performance analysis and test design skills.
Excellent understanding of deploying data pipelines for Computer Vision projects.
Excellent understanding of NVIDIA Jetson series and deploying Deep learning models on the edge.
Good to Have
Deep Learning experience.
Experience with DL Frameworks (e.g. TensorFlow, PyTorch, NVIDIA DeepStream).
Excellent C/C++ and Python programming skills.
GPU programming (CUDA or OpenCL).
Experience doing performance analysis and tuning.
Job Types: Full-time, Internship
Experience:
Raspbery, NVIDIA Jetson: 1 year (Preferred)
Deep Machine Learning: 1 year (Preferred)
TensorFlow, PyTorch , Caffe or other DCNN Framework: 1 year (Preferred)
NVIDIA CUDA , C/C++: 1 year (Preferred)
Education:
Bachelor's (Required)
Work Remotely:
Yes"
