Title,Location,Company,Salary,Sponsored,Description,salary_min,salary_max,python_sk,spark_sk,tableau_sk,aws_sk,excel_sk,power_sk,numpy_sk,opencv_sk,pandas_sk,nltk_sk,machine_sk,deep_sk,statistics_sk,sql_sk,tensorflow_sk,job_simp1,seniority,loc_simp1,desc_len,avg_salary
Data Analytics part time job/internship at Multiple location...,"Chennai, Tamil Nadu",Enerjazz,"₹5,000 - ₹10,000 a month",Organic,"About the company:
We are a green energy startup based in Amsterdam funded by the EU. Our founder is from IIT and we operate from Delhi NCR in India.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Build and optimize databases for our battery testing system 2. Analyze and correlate the test data 3. Work on coding IoT for our product
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 11th Aug'20 and 15th Sep'20
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Other requirements:
Must be a graduate student pursuing engineering Must have a background in maths, physics or a related field Must have excellent quantitative and analytical skills Must have advanced Excel skills Must be proficient with other Microsoft Office applications
Number of internships/jobs available: 1
Categories: Analytics,Data Science",60000.0,120000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,na,intern,Chennai,1175,90000.0
Data Analyst,"New Delhi, Delhi",MedTourEasy,"₹7,00,000 a year",Organic,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.

Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.

Responsibilities

Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements

Proven working experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
BS in Mathematics, Economics, Computer Science, Information Management or Statistics",700000.0,700000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,data analyst,na,Delhi,1875,700000.0
Fresher/Junior Data Science Developer,"Chennai, Tamil Nadu",HTC Global Services Limited,"₹20,000 a month",Organic,"HTC Global Services hiring freshers for Junior Data Science Developer
Job Description:
HTC Global Services hiring freshers (2018 and 2019 ) for the position Junior Data Science Developer.
Candidates those who are in Chennai and immediately available to attend interview with HTC Global Services (MEPZ, Tambaram) can apply.
About HTC Global Services:
HTC Global Services (HTC) is a leading global provider of Information Technology (IT) and Business Process Services (BPS), headquartered in Troy, Michigan, USA. Established in 1990, HTC is an Inc. 500 Hall of Fame company and one of the fastest growing Asian American companies in the USA. Our client base spans over 2000 organizations across the globe. HTC acquired CareTech Solutions in December 2014 and Ciber, Inc. (Currently Ciber Global LLC) in June 2017. These acquisitions enable us to expand our operational capabilities in Healthcare IT and Technology Transformation services.
HTC is an ISO 9001 and 27001 certified company with processes compliant to SEI CMM Level 5. With over 10 global delivery centers and operating presence in several countries, we serve global clients across multiple time zones. Our ‘Business Partner’ approach enables us to offer high business value for our clients. It also brings in the benefit of repeated business for HTC. Our strategic solutions enable clients to transform and thrive in the changing world.
Designation : Fresher/ Junior Data Science Developer.
Job Requirements:
Key Skills:
Should have good knowledge in basics OOPS concepts.
Must possess good communication skill(both oral and written).
Qualification :
· Bachelors or masters in Science majored in Math/Statistics/Econometrics.
· Bachelors in Engineering with Data science/AI/ML as part of the curriculum
· Management graduates with specialisation in Analytics/Data Science/AI/ML.
Eligiblity Citeria:
· First class throughout curriculum is mandatory(from 10th standard to degree).
Certificates/Diplomas:
Should have done certification in date science, Analytics, Python from leading institutions or through online courses from Coursera/datacamp/udemy/udacity
Must to have:
Have few practical projects experience for a maximum of 2 years, active in Kaggle or other forums.
Probation period : One Year
Salary Offered : CTC 3.00 L pa
Agreement Period:
3 Years from the date of joining and should be ready to submit original documents.
Rounds of Interview:
Round 1: Aptitude (Technical and English )
Round 2: Technical & HR at the company.
Job Type: Permanant, Full-time
Salary: ₹300,000.00 per annum from Training onwards.
Benefits:
Provident fund (PF)
Paid leaves / Leave encashment
Industry:
Software Development
Interested candidates can reach me at :
Pavithra.M
Senior HR @ HTC Global Services Limited
Official Mobile Number: 9840604551
Job Types: Full-time, Fresher
Pay: From ₹20,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)",240000.0,240000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,na,na,Chennai,2959,240000.0
Data Science Internship,"Chennai, Tamil Nadu",SIMPLIFAID PVT LTD,"₹15,000 a month",Organic,"About the company:
We are into building products using cutting edge technologies using AI/ ML for the development sector. A deep-tech startup for social good that harnesses the power of digital solutions to help cities graduate to inclusive and sustainable cities. ""Our solutions are driven for societies to flourish by adopting cutting edge technologies as an enabler for its comprehensive and inclusive development"". Our Motto: We help measure the quality of service delivery and co-create action plans with municipal officials based on our location intelligence. Why do yearly performance assessments? We engage with state and national governments for conducting concurrent performance assess. We support other social enterprises, NGOs, and foundations who are on a similar mission to transform Indian cities with our location intelligence. Why don't you speak with us before making an investment in a certain location? We are here to provide you unbiased review that is most critical for your investment decision!
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Working on Python, machine learning, deep learning, and IoT products 2. Implementing models as APIs for consumption of business 3. Building data products using cutting edge technologies
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 3rd Aug'20 and 7th Sep'20
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 2
Additional details:
The intern would get an incentive of up to Rs. 10000 based on the delivery of work.
Categories: Data Science,Engineering",180000.0,180000.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,na,intern,Chennai,1836,180000.0
Machine Learning Internship,"Chennai, Tamil Nadu",E-con Systems India Private Limited,"₹20,000 a month",Organic,"About the company:
e-con Systems is a product company focused on OEM products with the sole motive to help customers to speed up the time to market. Founded in 2003, e-con Systems has been a pioneer in the OEM Cameras and computer on module products. Camera modules include standalone MIPI camera modules and USB cameras. e-con Systems notable contribution has been in the launch of the World's first UVC compatible USB 3.0 camera. e-con Systems was also the world's first standalone stereo camera supplier. System on modules include processors from NVIDIA, NXP(Freescale), and Texas Instruments. These computers on modules have support for android and Linux.
About the internship/job:
Selected interns day-to-day responsibilities include: 1. Work on object detection model pruning in Tensorflow 2. Work on improving the accuracy metric of the object detection model without reducing the performance 3. Work on implementing semantic segmentation model in Tflite
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 13th Aug'20 and 17th Sep'20
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 4
Categories: Machine Learning,Data Science",240000.0,240000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,mle,intern,Chennai,1413,240000.0
Data Science Internship,"Bengaluru, Karnataka",OTO Capital,"₹12,000 a month",Organic,"About the company:
In the recent years - consumers have changed and love to upgrade faster. They shift from one city to another for better career options, value access over ownership and perceive ownership as an additional responsibility of care and maintenance. Hence, there is a big need of providing him/her a hassle-free option to own (cars, bikes, etc.) without much commitment. OTO envisions the concept of 'Own Together' enabling ownership (starting with cars) in a new way of financing with flexible usage terms. With OTO, consumers pay for a car with up to 25% low, all-in, month-to-month payment. We aim to redefine the $40 Billion+ market of Car Ownership in India at first. We have already partnered with 100+ showrooms & corporates to provide this offering to the car purchasers at a point of sales.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. â€¢ Work with the data science team and contribute to the ongoing project 2. â€¢ Research about different techniques that can be used to achieve the goal of the project 3. â€¢ Practically understand the problem statement and Implement the research done to develop custom data models and algorithms 4. â€¢ Extract, Harmonize, clean, and merge data from different data sources for further use 5. â€¢ Build machine learning solutions to drive optimization and improvement in product and business strategies 6. â€¢ Develop processes and tools to monitor and analyze model performance and data accuracy
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 13th Aug'20 and 17th Sep'20
are available for duration of 4 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Other requirements:
â€¢ Some experience working with large data i.e. mining, cleaning, manipulating data sets, and building statistical models â€¢ Research-oriented mind-set â€¢ Strong problem-solving skills with a drive to learn and master new technologies and techniques â€¢ Knowledge about statistical computer languages (Python, R, SQL, etc.) to draw insights from large data sets â€¢ Knowledge of machine learning and statistical techniques (OCR, clustering, decision tree learning, artificial neural networks, regression, statistical tests, etc.) and their real-world advantages/drawbacks â€¢ Knowledge about automobile and finance industry will be an extra advantage
Number of internships/jobs available: 2
Categories: Data Science",144000.0,144000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,na,intern,Bengaluru,2603,144000.0
Machine Learning Engineer Intern (Image Recognition in Biome...,"Bengaluru, Karnataka","Kaleidoscope Business Solutions, Inc","₹25,000 - ₹45,000 a month",Organic,"Job Summary
The Machine Learning Engineer Intern is a hands-on individual contributor who loves to transform raw data into valuable insight. You are self-directed and love to take a problem from its early definition into a concrete plan and have your hands in all steps of the process, from data collection and preparation to model selection and training, all the way through deployment of proof of concept and ideally to production.
Responsibilities and Duties
- Create processes to clean and augment our existing data set of 50000+ images
- Select appropriate image recognition models for classification and object detection
- Train models, including hyper parameter tuning and local / cloud processing
- Report on model accuracy and utility
- Develop proof-of-concept applications that implement your models to demonstrate business value
- Deploy proof-of-concept applications to internal beta testers
- Work with our engineers to deploy your models into real-world applications that help us improve patients' lives while making our healthcare system more efficient
Build neural network architectures for the KBS platform.
Develop prototypes and execute experiments to help guide engineering efforts.
Explore new model families and machine learning algorithms.
Experience with Deep Learning and CNNs
Key Skills
machine learning, deep learning , computer vision, react, neural networks
Required Experience and Qualifications
Requirements:
- Min BS in Computer Science, Electrical Engineering, Applied Mathematics or Physics
- 1+ years experience in Computer Vision, Machine Learning, Image Analysis
- Strong background in Python and Linux
- Strong foundations in probability, linear algebra, and optimization.
- Background in statistical modeling and inference.
- Experience with 3rd party Vision/Math tools such as Keras, Pytorch, TensorFlow, OpenCV, AWS, etc
Pluses:
- Experience with TensorFlow Lite on mobile
- Experience working with MobileNet SSD architecture
- Experience with object detection and/or digit recognition
- Swift / Objective C / Java / C++ experience on mobile devices
- Experience building APIs or microservices in Python or Node.js
- Exposure to React Native
Preferred Qualifications
Experience with large-scale industrial applications of statistical modeling and inference.
Experience with statistical modeling across a diverse range of data sets and domains.
Masters in Computer Science (AI/ML specialization), Statistics, Mathematics (Probability), or equivalent.
Benefits
**We:
Give you the newest MacBook Pro with accessories and best equipment / work setup to make you feel productive and empowered to do your best work once you complete one full year with Kaleidoscope Business Solutions.
We care about your professional development and give you Personal Innovation Fund (education reimbursement) once you complete one full year with Kaleidoscope Business Solutions.
Offer you opportunities for international travel
Provide a modern office environment
Offer competitive salary and bonuses
Contribute to open source software
About Kaleidoscope Business SolutionsWe're a AI software consulting firm headquartered in San Francisco with offices in India. We are a growing 10+ team of engineers, designers and project managers working with a client roster of leading organizations from around the world. Our clients are a mix of venture-backed start-ups, Fortune 500 brands, and innovative NGOs.
View our website for more details. www.kb.solutions
Still not sure about applying to us?
If you're interested in applying for this job, we need three important things from you after you click the ""Apply for this job"" button below:
- a short cover letter (paragraph) describing why this seems like a good fit to you- a link to your GitHub profile (if any)- your LinkedIn profile (if any)
If the idea of working with smart people on cutting-edge technology to save lives is appealing... apply!
Also, if you put the words ""Can't wait for MACHINE LEARNING!"" in your cover letter, it will please us to know that you took the time to read this post and have good attention to detail.
We're looking forward to hearing from you!
Job Types: Full-time, Temporary, Internship, Contract
Salary: ₹25,000.00 - ₹45,000.00 per month
Experience:
machine learning: 1 year (Required)
Deep Learning: 1 year (Required)
Education:
Bachelor's (Required)
Location:
Bengaluru, Karnataka (Preferred)
Industry:
Software Development
Work Remotely:
Yes",300000.0,540000.0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,mle,intern,Bengaluru,4446,420000.0
"Online Trainer - Python, ML, Data Science","Coimbatore, Tamil Nadu",Nowa Labs,"₹1,000 an hour",Organic,"We are looking for a trainer in Python, Data Science and Machine Learning Technologies.
You need to be extremely good in
- Python
- numpy
- pandas
- sci-kit-learn
- Maths concepts required for Data Science
- Machine Learning fundamentals
You will be giving online training to the students across the world.
We would want you to present webinars and do mentorship to AI aspirants.
Job Types: Part-time, Contract
Salary: From ₹1,000.00 per hour
Experience:
total work: 1 year (Preferred)",,,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,na,na,Coimbatore,485,
AI and Deep Learning Trainer,"Bengaluru, Karnataka",Perceptrons,"₹20,000 - ₹40,000 a month",Organic,"Job Description:
1. Good domain knowledge on data science with min 3-4 yrs
2. Good knowledge on Hadoop, Statistics, SQL,Python,Machine Learning,Deep Learning,NLP, Tensor-flow etc
3. Able to take CLASSROOM or ONLINE Daily/weekend classes at Rajajinagar Branch, Bangalore.
4. Need to handle 2-3 Batches per month (Incl Online & Classroom)
Skills Required:
Artificial Neural Network (ANN), Deep Learning, Machine Learning (ML), NLP, Computer Vision, etc
We are Global AI training institute located in Bangalore and US. for more details visit us at perceptrons.ai
Job Types: Full-time, Part-time
Salary: ₹20,000.00 - ₹40,000.00 per month
Experience:
work: 3 years (Preferred)
total work: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Industry:
Education & Instruction
Work Remotely:
Yes",240000.0,480000.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,na,na,Bengaluru,790,360000.0
Junior Data Scientist/ta,India,WSD Consultant,"₹7,00,000 - ₹15,00,000 a year",Organic,"Junior Data Scientist/ta
Gurgaon, Bangalore, Mumbai, Pune, Chennai, Hyderabad


candidate should qualify checklist written below:

Ques: Does the candidate has strong knowledge in Data Science/ Machine Learning/ Artificial Intelligence ? Please mention

Ques: Is the candidate willing to work full time as a Data Science program Manager/ Academic and content delivery/ End to End Curriculam delivery and management ?

Ques: Does the candidate has Data Science/ Machine learning content development and academic delivery experience/ Faculty Development programs in any Teaching Institution or E - Learning Companies?


Job Specifications

Exp. 1.0 - 5.0 Year(s)
Annual Fixed CTC Min : 7.0 Lacs Max: 15.0 Lacs
Qualification B.Tech/B.E. , Any Post Graduation
No of openings 3
Additional Doc/Msg
Experience
1 - 5 Years

Salary
7 Lac To 15 Lac P.A.

Industry
IT Software - Application Programming / Maintenance

Qualification
Other Bachelor Degree, MD/Medicinae Doctor, Other Doctorate Degree

Key Skills
Data Scientist


About Company
Company Name
Great Learning


About Company
Great Learning is an online and hybrid learning company that offers high-quality, impactful, and industry-relevant learning programs to working professionals. These programs help them master data-driven decision-making regardless of the sector or function they work in and secure their career growth into the future. These programs are delivered through a convenient and robust technology-enabled experience with no disruption to their careers.

Contact Person
Pramod Kumar

Address
Gurgaon

Mobile
8506010400

Email ID
jobwsd@gmail.com",700000.0,1500000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na,1611,1100000.0
